,title_x,good_ray,bad_ray
0,孤味,16.0,2.0
29,5x1,0.0,0.0
30,逃亡的女人,1.0,0.0
31,被贈與的未來,0.0,0.0
32,綠洲,1.0,0.0
36,火線情深,0.0,0.0
37,藥命時空,0.0,1.0
38,夜山明,0.0,0.0
39,附身符,1.0,0.0
40,紙花,0.0,0.0
41,咕嚕米的眼睛,0.0,0.0
42,破碎的擁抱,0.0,0.0
43,高跟鞋,0.0,0.0
44,悄悄告訴她,0.0,0.0
45,玩美女人,0.0,0.0
46,壞教慾,0.0,0.0
47,鬼滅,43.0,1.0
117,狄更斯之塊肉餘生記,1.0,0.0
118,女巫們,0.0,1.0
119,家在蘭若寺,0.0,0.0
120,收屍人,0.0,0.0
121,聖荷西謀殺案,0.0,1.0
123,入魔,0.0,0.0
124,愛情是什麼,1.0,0.0
125,飆速宅男,0.0,0.0
126,老公不是人,1.0,0.0
127,異端鳥,2.0,0.0
129,幸運女神,0.0,0.0
130,大法師,1.0,0.0
131,感官世界,0.0,0.0
132,奪命守門人,0.0,1.0
136,看不見的目擊者,2.0,0.0
139,霜花店朕的男人,0.0,0.0
140,地獄通話,0.0,1.0
142,綁票追殺令,0.0,1.0
143,碧藍之海,2.0,0.0
148,親愛的房客,13.0,4.0
173,無聲,37.0,1.0
220,高校艦隊,0.0,0.0
221,浴血劍客,2.0,0.0
223,幻愛,1.0,0.0
226,刻在,63.0,9.0
321,剪刀手愛德華,0.0,0.0
322,森林特攻隊,0.0,0.0
323,急先鋒,2.0,0.0
325,紫羅蘭永恆花園,6.0,0.0
333,無價之保,2.0,0.0
336,千年一問,4.0,0.0
340,倒數反擊,1.0,4.0
348,工作細胞,3.0,0.0
351,消失的情人節,22.0,1.0
386,鋼琴師,0.0,0.0
387,蘿莉破壞王,1.0,0.0
388,名偵探奶奶,1.0,0.0
390,大雄的新恐龍,1.0,0.0
396,特斯拉,1.0,2.0
400,阿公當家,3.0,0.0
403,怪物先生,1.0,1.0
405,特務搞飛機,2.0,0.0
410,蠟筆小新,2.0,0.0
413,中央車站,0.0,0.0
414,變種人,0.0,6.0
430,天能,49.0,14.0
700,美麗佳人歐蘭朵,1.0,0.0
701,蘇州河,1.0,0.0
704,粽邪2,6.0,3.0
719,我是大哥大,1.0,0.0
720,完美嬌妻養成班,0.0,0.0
721,花木蘭,30.0,18.0
794,訂製幸福滋味,0.0,0.0
795,可不可以,4.0,0.0
802,角落小夥伴,1.0,0.0
805,翻供,4.0,1.0
814,雙面追緝,2.0,0.0
816,隱藏的畫家,1.0,0.0
818,6號鬼病床,0.0,0.0
819,怪胎,18.0,5.0
848,天劫倒數,4.0,2.0
864,新幹線變形機器人,1.0,0.0
867,最後的情書,0.0,0.0
868,罪人的控訴,1.0,0.0
869,黑暗騎士,0.0,0.0
872,銀翼殺手,0.0,0.0
873,最瘋狂的旅程,6.0,0.0
882,親愛的小孩,1.0,0.0
883,死因無可疑,2.0,0.0
887,超能西蒙的奇幻旅程,1.0,0.0
888,開戰時刻,0.0,0.0
889,黎明昇起,0.0,0.0
890,破處,1.0,4.0
898,大雄的金銀島,0.0,0.0
899,一首搖滾上月球,0.0,0.0
900,願望咖啡館,0.0,0.0
901,密陽,0.0,0.0
902,喜劇天團勞萊與哈台,0.0,0.0
903,英雄遊樂園,0.0,0.0
904,鳴鳥不飛烏雲密布,0.0,0.0
905,罪米開朗基羅,0.0,0.0
906,閉嘴彈琴,0.0,0.0
907,1/2的魔法,8.0,0.0
917,錢不夠用2,0.0,0.0
