,title_x,good_ray,bad_ray
0,華氏11/9,0.0,0.0
1,玉子愛情故事,0.0,0.0
2,霜花店：朕的男人,0.0,0.0
3,獅子山上,1.0,0.0
4,地獄通話,0.0,1.0
5,迷慾東京,0.0,0.0
6,戀愛好好說,0.0,0.0
7,綁票追殺令,0.0,1.0
8,碧藍之海劇場版,6.0,0.0
15,親愛的房客,12.0,2.0
34,人造紀元：走進人類世,0.0,0.0
35,劇場版高校艦隊,0.0,0.0
36,被告,0.0,0.0
37,阿比阿弟尋歌大冒險,1.0,0.0
39,男人的一半還是男人,0.0,0.0
40,詭憶,0.0,0.0
41,浴血劍客,0.0,0.0
42,奪命守門人,0.0,0.0
44,藥頭大媽,0.0,0.0
45,看不見的目擊者,1.0,0.0
47,千年一問,0.0,0.0
48,星際效應,0.0,0.0
49,倒數反擊,0.0,0.0
50,刑警沒有假期,0.0,0.0
51,愛情列車長,0.0,0.0
52,工作細胞特別上映版-強「菌」來襲！人體腸道大騷動！,0.0,0.0
53,幻愛,0.0,0.0
54,無聲,10.0,0.0
67,2020高雄電影節,0.0,0.0
68,地下弒的秘密,1.0,0.0
69,遺落夢境,0.0,0.0
70,交響狂人,0.0,0.0
71,阿公當家,0.0,0.0
72,刻在你心底的名字,2.0,1.0
77,剪刀手愛德華,0.0,0.0
78,森林特攻隊：大腳ㄚ家族,0.0,0.0
79,急先鋒,0.0,0.0
80,紫羅蘭永恆花園電影版,0.0,0.0
81,少女與戰車最終章 第1+2話4D,0.0,0.0
82,無價之保,0.0,0.0
83,特務搞飛機,0.0,0.0
84,蠟筆小新：激戰！塗鴉王國與差不多四勇者,0.0,0.0
85,蘿莉破壞王,0.0,0.0
86,麥路人,0.0,0.0
87,名偵探奶奶,0.0,0.0
88,重裝救援：全境獵殺,0.0,0.0
89,整容液,1.0,0.0
90,消失的情人節,1.0,0.0
93,電影哆啦A夢：大雄的新恐龍,0.0,0.0
94,特斯拉,0.0,0.0
95,美麗佳人歐蘭朵,0.0,0.0
96,蘇州河,0.0,0.0
97,馗降：粽邪2,0.0,0.0
98,我是大哥大！！劇場版,0.0,0.0
99,完美嬌妻養成班,0.0,0.0
100,花木蘭,0.0,0.0
101,訂製幸福滋味,0.0,0.0
102,中央車站：數位修復版,0.0,0.0
103,怪物先生,0.0,0.0
104,密弒直播,0.0,0.0
105,TENET天能,0.0,0.0
106,6號鬼病床,0.0,0.0
107,怪胎,0.0,0.0
108,天劫倒數,0.0,0.0
109,逃出立法院,0.0,0.0
110,Fate/stay night [Heaven's Feel] III.春櫻之歌,0.0,0.0
111,最後的情書,0.0,0.0
112,看不見的證人,0.0,0.0
113,可不可以，你也剛好喜歡我,0.0,0.0
114,變種人,0.0,0.0
115,頭號粉絲,0.0,0.0
116,角落小夥伴電影版：魔法繪本裡的新朋友,0.0,0.0
117,打噴嚏,0.0,1.0
118,翻供,0.0,0.0
119,戀夏時光,0.0,0.0
120,魔王的女兒,0.0,0.0
121,鋼鐵雨：深潛行動,0.0,0.0
122,雙面追緝,0.0,0.0
123,北海小英雄,0.0,0.0
124,隱藏的畫家,0.0,0.0
125,1/2的魔法,0.0,0.0
126,天氣之子,0.0,0.0
127,雙面遊戲,0.0,0.0
128,蝙蝠俠：開戰時刻,0.0,0.0
129,說再見前的30分鐘,0.0,0.0
130,銀翼殺手最終版,0.0,0.0
131,戰鬥少女選擇者 劇場版,0.0,0.0
132,最瘋狂的旅程,0.0,0.0
133,親愛的小孩,0.0,0.0
134,死因無可疑,0.0,0.0
135,錢不夠用2,0.0,0.0
136,一首搖滾上月球,0.0,0.0
137,天注定,0.0,0.0
138,不可能的逃亡,0.0,0.0
139,天使怎麼了,0.0,0.0
140,在時間停止的世界相遇,0.0,0.0
141,巧虎電影：英雄遊樂園,0.0,0.0
