,title_x,good_ray,bad_ray
0,his,,
1,無價之保,2.0,0.0
5,恐怖份子製造國度,,
6,千年一問,,
7,星際效應,5.0,1.0
19,辛比的怪怪屋,,
20,倒數反擊,0.0,4.0
25,刑警沒有假期,1.0,0.0
26,愛情列車長,1.0,0.0
27,工作細胞特別上映版-強「菌」來襲！人體腸道大騷動！,,
28,皮爾卡登,,
29,交響狂人,1.0,0.0
33,阿公當家,2.0,0.0
35,刻在你心底的名字,50.0,6.0
109,剪刀手愛德華,,
110,森林特攻隊,,
111,捉魂鏡,,
112,急先鋒,1.0,0.0
114,紫羅蘭永恆花園,3.0,0.0
119,少女與戰車,3.0,0.0
125,寂寞調香師,,
126,名偵探奶奶,1.0,0.0
128,重裝救援,,
129,整容液,2.0,0.0
132,消失的情人節,16.0,1.0
162,殺戮荒村,2.0,0.0
165,大雄的新恐龍,2.0,0.0
171,法蒂瑪的奇蹟,1.0,0.0
172,特斯拉,1.0,2.0
175,遺落夢境,1.0,0.0
177,戀愛與謊言,,
178,花木蘭,32.0,17.0
252,小偷演員,,
253,中央車站,0.0,0.0
254,教會,2.0,0.0
256,密弒直播,1.0,0.0
259,特務搞飛機,2.0,0.0
265,蠟筆小新,5.0,0.0
270,麥路人,2.0,0.0
274,皮諾丘的奇幻旅程,1.0,0.0
275,天劫倒數,4.0,2.0
291,逃出立法院,4.0,3.0
305,春櫻之歌,,
306,最後的情書,1.0,0.0
308,看不見的證人,,
309,可不可以 你也剛好喜歡我,,
310,天能,48.0,16.0
578,美麗佳人歐蘭朵,1.0,0.0
579,蘇州河,3.0,0.0
584,粽邪2,8.0,3.0
605,藍色恐懼,2.0,0.0
609,翻供,6.0,1.0
620,戀夏時光,,
621,魔王的女兒,,
622,深潛行動,4.0,0.0
627,雙面追緝,1.0,0.0
628,北海小英雄,0.0,0.0
629,隱藏的畫家,2.0,0.0
632,哈囉少女,2.0,0.0
635,怪胎,21.0,6.0
669,打噴嚏,8.0,6.0
687,最瘋狂的旅程,6.0,0.0
696,72小時前哨救援,5.0,0.0
702,福島50英雄,2.0,0.0
704,親愛的小孩,1.0,0.0
705,雙槍對決,3.0,0.0
709,天后小助理,3.0,0.0
714,死因無可疑,1.0,0.0
717,頭號粉絲,1.0,0.0
718,角落小夥伴,1.0,0.0
721,AI終結戰,,
722,Hello World,1.0,0.0
724,英雄遊樂園,0.0,2.0
726,不愛鋼琴師,1.0,0.0
727,小魔花,2.0,1.0
730,陪你玩最大,1.0,0.0
731,1/2的魔法,13.0,0.0
747,海邊走走,3.0,0.0
750,銀翼殺手,,
751,雙面遊戲,1.0,0.0
752,錢不夠用2,,
753,一首搖滾上月球,,
754,大雄的金銀島,,
