,author,contenttext,date,title,key_word,good_ray,bad_ray
0,Sanchers ( ),"



 


無價之保應該是近期最感人的韓國電影，讓許多女孩子在片尾頻頻拭淚，口罩都沾溼了。



~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 以下有雷~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

1993年仁川高利貸業者頭石(成東鎰飾)與宗培(金熙元飾)想拿回欠債，卻因為對方朝鮮族
單親婦人實在拿不出錢，最後只好帶回她女兒承怡(朴昭怡飾)做擔保，約定隔日再來還錢
。


沒想到朝鮮族婦人隔天沒有回來，反倒被相關單位發現要被遣返回中國，為了不讓女兒跟
著受苦，決定不帶她一起離開，臨走前把女兒託付給頭石，請頭石按約定把女兒交給釜山
一位遠親伯父扶養，欠債由伯父來償還。


幾天的相處頭石對這位純真的小女生慢慢產生好感，只是沒想到領養是一場騙局，承怡沒
如預期到伯父家過好生活，反而被轉賣到當地酒家當童工，幾經波折才被頭石與宗培救出
來。自此承怡跟頭石、宗培一起生活，由頭石負責打理她生活的一切，起初為償還酒家連
唯一的車子都賣了。


之後的劇情不難猜，頭石想辦法送承怡去上學，一路扶養她長大，如同自己親身女兒般對
待，即使自己沒什麼錢依舊苦撐著。跟以前一樣平常頭石還是習慣叫承怡為擔保，意思是
欠債的擔保品。


後來因為接到通知承怡母親病危，頭石趕緊帶承怡(成年為河智苑飾)回中國探望，母女倆
終於相見。承怡母親相當感激頭石將女兒扶養成人，還拜託頭石幫忙找出承怡的親生父親
。


花費一番功夫，頭石真的找到承怡的生父，安排兩人在飯店見面，頭石自己先回去。宗培
得知後笑頭石傻，這樣以後承怡就只認她生父，對他們態度就會不一樣了。聽宗培這麼一
說，頭石在家心情顯得落寞，怕承怡真的離開他們。


沒想到承怡對久未謀面的生父沒什麼情感連結，心裡早就認定頭石才是他的父親，和生父
見完面後打電話要頭石來接她回去，電話裡還直接叫頭石爸爸。頭石喜出望外，馬上騎車
去接承怡回家。


意外就在此發生了，原來頭石身體早就出了狀況，有血管栓塞的情況，在路上突然昏倒摔
車，承怡等不到頭石，頭石自此失蹤不知去向。


接下來十多年承怡跟宗培想盡辦法就是找不到頭石下落，一次承怡靈機一動，改用小時候
幫頭石取的名字去搜尋失蹤人口，在警方協助下於一家安養院找到頭石，當下頭石精神狀
況已經非常不好，甚至不太認得人，卻說得出”擔保”。


陪同的宗培一見到頭石當場痛哭自己來晚了，流淚的承怡在頭石的鞋裡發現頭石的存摺，
裡面密密麻麻印的都是過去給”擔保”的相關生活費用，承怡當下淚崩說：「在你好轉前
，你就是我的擔保。」抱著頭石直喊爸爸。


最後一幕承怡攙扶頭石參加自己的婚禮，兩人走在台上，以父親名義出席的頭石走路已經
不太穩定，卻突然叫了一聲：「承怡」，似乎認得面前這位念茲在茲的”擔保”畫下一個
圓滿的句點。


有句台語叫「生的放一邊，養育恩情大過天。」，正是承怡跟頭石的寫照，有時候拉你一
把的人，反而是跟你最無親無故的人。這份恩情承怡始終感激，把頭石當作自己爸爸看待
。


劇中飾演承怡童年的朴昭怡和成年承怡的河智苑，都把這個微妙的角色詮釋得很好，她們
要得不多就是一個家的感覺。心是不會騙人的，從”擔保”變成自己的”寶貝”，一個父
親的心成東鎰完整表達了。

--
",2020-10-14 16:24:19,[好雷] 近期最催淚韓國片：無價之保,無價之保,2,0
1,ByeFat (Max),"
雷文防雷資訊頁

無雷心得推薦文

網頁好讀版：

~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~



~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

南韓今年有兩位小童星讓我很有印象，這兩個孩紙的共同點，就是靈活運用兩顆水汪汪的
大眼珠來表演。一位是在《哈囉掰掰我是鬼媽媽》裡飾演小女童棲旴的徐宇真，真實性別
是Boy的他，在on檔期間引發相當多討論。然而年僅5歲的他，就已經在許多影劇作品演出
過，相當不簡單。另外一位就是在這部戲份相當吃重的朴昭怡，在《魔鬼對決》裡就令我
相當驚艷，即使跟黃晸玟和李政宰兩大影帝同台，還是隱藏不了她所散發的光芒。

電影年代設定在1993年，從家中擺設和街道景象就看出劇組的用心，還有令人相當懷念
B.B.Call的年代。預告中就帶出頭石、宗培兩人是如何和小承怡”邂逅”，以及他們三人
相遇後所發生一連串的故事。選角的部分真的是這部最大亮點，除了飾演小承怡的朴昭怡
之外，我最喜歡的就是飾演宗培的金希沅。只敢在頭石背後說風涼話，還有那渾然天成衰
臉的他，實在相當討人喜歡。雖然同框，但即使是焦點不在他身上的畫面，也超有存在感
。順帶一提，同樣在雙十連假上映的《刑警沒有假期》他也有重要演出，兩部角色的風格
截然不同。

「如果你想要製造羈絆，就得承受流淚的風險」--《小王子》

主打親情類型的《無價之保》，風格相當清新自然。電影裡許多片段情緒的感染力非常強
，不管是欣賞演員的演技，或是台詞本身就相當感人。有時冷不防地就給內心來一記重擊
，淚水也就相當自然地奪眶而出。趁著這次連假就已經完成二刷，這兩個場次都觀察到許
多觀眾感動落淚的景象。雖然電影並沒有太過強調，輕描淡寫地帶出一些社會議題，讓觀
眾了解現實生活中的確有這些事情正在發生中。若有注意到自己身邊有些許跡象，也希望
能對這些人適時地伸出援手,趁一切都還來得及。

《無價之保》是一部情感相當細膩的溫馨小品，從電影裡不免看出劇組許多的巧思，例如
百貨公司裡T恤上印製「I must stick with you」的字眼，巧妙地呼應了不久前剛出現的
對白，是顆相當可愛的彩蛋。人的一生中，一定會遇到除了親人之外，幾位自己相當喜愛
且信任的人。當他們碰到困難，而自己剛好有能力的話，不妨讓對方成為自己的「擔保」
，也許他/她就是我們一生追尋的那個無價之寶呦！

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -


《高雄電影誌K.M.M》 

如果喜歡這篇文章，歡迎到粉絲專頁按讚，謝謝。

--

主要演員表現都超棒


到現在回想起來，各種感動湧上心頭


最近覺得眼睛乾乾的人可以來嘗試一下(誤


朴昭怡妹妹在《魔鬼對決》裡也有精彩演出呦！


是的，從流浪漢那段就被惹哭了QQ


隔著玻璃哭喊的承怡，實在太令人心疼。


彩蛋是大魔王，懂藏XD


感謝w大告知，龍祥有附上文章來源，ok的。
",2020-10-12 17:55:15,[好無雷]《無價之保》討債雙寶遇上國民擔保,無價之保,2,0
2,ckshchen (尖酸苛博文),"


小成本，老劇本，加點創意
就是個新的好故事

非血緣是否能有親情不是新故事
但創新且荒謬的主因給了新生命

個性的反差
兩個大叔相聲般的對話
傲嬌的勝大

一部有歡笑有眼淚的好電影
我那廳大家一起笑一起哭

不過雖然知道是為了有結局能收尾
但失蹤真的太不合理啊

他騎公司的車，還有車牌
怎麼會找不到家屬？

失蹤時間報一下，地點交叉比對應該就馬上知道出事

怎麼可能會失蹤十年？

當然，沒這樣事件很難收尾就是了
整體而言也是好電影

--
",2020-10-10 08:50:39,[好雷] 無價之保,無價之保,2,0
3,KKKKKvs333 (國內333 國外5連K),"



以往感人韓片或許多少都有誇張狗血又尷尬的片段

但這一部卻是少數讓我覺得很優又感動的韓片

內容或許不讓人意外的平淡

卻讓人意外的默默落下眼淚

若是前一陣子的""翻供""有70分

那這部我可以給90分

--







--
",2020-10-08 17:54:32,[無雷] 無價之保,無價之保,2,0
4,Spade (JACK),"
環狀線開通後反而比較常去板橋威秀看IMAX。
但是這部片讓我決定衝大直美麗華

第一次看星際效應時是在二輪戲院
當時還不懂什麼是IMAX

因為今年的特殊情況讓許多舊片有機會重映

第二次看IMAX選擇板橋威秀
第三次看IMAX決定衝大直美麗華

因為有許多1.43：1的畫面
板橋的畫面大概是藍色框框範圍
美麗華會多出下面弧形的畫面
（我隨意畫的，懂我在說什麼就好XD)



前面日常片段，外太空美麗華很多畫面都全滿看的真的很爽...
尤其當對接那個音樂還有畫面真的感動
我是建議要看IMAX就衝美麗華就對了  藝fun卷趕快用掉
住台北只看板橋IMAX也不是不行
只是有點可惜

--
電視上看跟戲院還是有差的
有空就衝美麗華
板橋：爽
美麗華：超級爽
",2020-10-14 21:47:02,Re: [好雷] 星際效應iMAX 空氣凝結的影廳,星際效應,5,1
5,tiara (中國台北發大財),"

第一次看星際效應是4年前用電腦看，從此這部電影就是我心中的第一名了，
想不到今生我竟然有機會在IMAX大螢幕觀賞，開場就讓我感動到快哭了！

不過我想提一下庫柏他們追逐的無人機，4年前我看了三遍，
沒注意是什麼國家的，今天才特別仔細觀賞，庫柏說他來自印度，
想想最近十幾年，好萊屋的電影幾乎都要捧中國一下，
像火星救援、地心引力、環太平洋..等等，
一定要稱讚中國也有同樣強大的科技實力，
當時諾蘭敢與眾不同捧印度，眼光實在獨特，
而且上個月印度和中國邊境的戰爭，印度連贏推進不少，
還有未來人也說過印度將統治中國，我佩服諾蘭當時的勇氣及眼光。

-----
Sent from JPTT on my Asus ASUS_Z01RD.

--
這樣也算扯政治？ 你是不是中國人或支持中國的台灣人，上個月被印度屌打心碎了？
一片就算捧懶趴，那幾十片電影提到中國是捧哪裡？
又有人很敏感，這也算政治文？
",2020-10-13 20:51:54,無雷 星際效應的無人機,星際效應,5,1
6,reggiewang (freshman),"
雷文防雷資訊頁

~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~

誰不曾在童年仰望星空？在深不見底的蒼穹，編織沒有邊際的夢，是父母說著床邊故事的
舞台，也是孩子想像力育成的搖籃。但《星際效應》卻不然—第一次看時，或許是過於理
性冷調，因此除了在蟲洞與巨浪面前倒抽一口氣，還有跟著馬修麥康納掉不停的眼淚稍微
鼻酸，並沒有留下太多印象；六年過去，趁著重新上映再度於大銀幕欣賞，才發現他的想
像力絲毫不亞於其他太空冒險，甚至是諾蘭作品中最感性、最浪漫、也最寂寞的。

「當你成了父母，有件事變得非常明顯：你得讓你的孩子感到安全」

父親對子女不求回報的深切思念，是《星際效應》成立的原因：因為地球環境持續惡化，
政府為了留住地球人，宣稱太空計劃只是冷戰陰謀論；曾是飛行員的庫柏被迫放棄太空夢
、轉而種植玉米，解決糧食危機，卻始終相信人類是拓荒者，應該積極為後代開疆闢土。
在一次機緣下，他參與NASA的秘密計畫，前往其他星系尋找人類下一個家。於是，重拾夢
想的庫柏與子女道別，搭上漫遊者號展開度日如年的航程。

有誰能不被庫柏與墨菲的父女情感動呢？諾蘭在兩人的相處埋下許多伏筆，包括墨菲躲在
庫柏卡車副駕駛座的驚喜、庫柏上太空前跟墨菲比賽年齡，以及手錶與摩斯密碼，父女默
契在分離後成為錐心印記，支撐著搖搖欲墜的歸來承諾。

庫柏在太空艙螢幕看著出發時還是女孩的墨菲轉眼成人，眼淚為了錯過的陪伴哀悼、摻雜
無言的愧疚、或許還有一點驕傲，馬修麥康納的哭戲堪稱教科書，在欣慰與悲痛間流轉，
任誰都會深深動容。

片中不只一次提到「愛是唯一超越時間與空間的事物」，卻也強調「太空人不該有太多情
感羈絆」。片中庫柏與布蘭德兩對父女宛若對照：庫柏為了子女的未來選擇出走，只為尋
求歸來後與他們更長久的相處；而用心良苦的布蘭德教授何嘗不是？明瞭地球與自己同樣
來日無多，以執行計畫之名將女兒放逐到新世界。雖然故事發生在未來，天下父母心卻不
曾因演化改變，人類無私的私心在浩瀚宇宙中如此渺小，卻在節制的濫情烘托下格外耀眼
。

「每部電影都應該有（像是《銀翼殺手》）的世界，一個有自己合理邏輯的世界投射在觀
眾眼中，讓他們相信，眼前的世界是真實存在的」

沒人知道黑洞與蟲洞的真實面貌，諾蘭特別找來物理權威基普索恩坐鎮，盡量考究地以廣
義相對論設計出球體的視覺效果，以及因快速旋轉而熾熱的環狀氣體。此外，不論是種植
500畝玉米田、建造等比例模型的太空船或用鼓風機吹出沙塵暴，為了讓演員更能身歷其
境，諾蘭拒絕使用綠幕，並以35和70mm的膠卷和IMAX攝影機攝製而成，每個不計成本的大
場面，都展現他對實景拍攝近乎走火入魔的浪漫，唯有在IMAX的巨幕瞻仰，才是最佳服用
方式。

第二次看《星際效應》，配樂竟成為特別喜歡的一環。漢斯季默以管風琴為主的配樂，讓
全片充滿神聖感，搭配庫柏駕駛小艇、追逐失控旋轉的永續號的戲碼，宛如人類對時間的
力挽狂瀾（擁有12個船艙的永續號太空站也形似時鐘），危險而優美。

而長方體機器人明顯出自《2001太空漫遊》，在史丹利庫柏力克眼中石碑象徵高度文明、
機器人則機智狡詐，在諾蘭的故事裡則合而為一、成了庫柏最知心的好友，或許也是人類
和科技最理想的共存關係。

「墨菲定律不代表壞事一定會發生，而是發生過的事情終究會發生」

庫柏進入五次元的重力場後，穿梭在墨菲不同時期的房間裡；「發生過的已經發生了」，
同樣用抱持信念的角色拆解已知的時間觀念，諾蘭在《天能》提到的命定悖論與墨菲定律
呼應別有趣味。回到《星際效應》衰老崩壞的地球，這個世界會變得更好嗎？或許不會，
但一如為了摯愛明知不可為而為之的庫柏，有點偏執、有點倔強，但依然無懼前行著：

「不要溫順地步入那良夜
年老應當在日暮裡燃燒咆哮
怒吼吧！怒吼抵擋著光明的熄滅」

更多好片影評推薦，歡迎追蹤IG帳號：




--
",2020-10-13 20:29:20,[好雷] 星際效應,星際效應,5,1
7,howenchong (Hoy),"
雷文防雷資訊頁



~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~







~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~


如果我手上無劍，我就無法保護你
如果我手上有劍，我就無法擁抱你
一個父親，怎能丟下一個已經沒有母親的十歲小女孩不管？＂
但如果不那麼作，女兒長大後的人生或許會見證末日，
如果主角沒去，人類是否也會得救？
或許，不知名的五維生物也會透過別人來救世？
或許不會？
就像人類看到一群螞蟻困在水池，好心的指引一條路，
好心的把找路的螞蟻扶上岸，
如果嚐試救援了，但螞蟻還是沒找到路，
也許人類也會放棄，
所以如果主角不去，沒能得到黑洞內的數據，
五維生物也不見得會再作什麼，也許地球人真的會毀滅。
可悲的是，男主選擇的，根本是場騙局，
還造成小女孩誤會父親只顧自己逃命到外星，
即使最後誤打誤撞，成功的回傳了數據了救地球人，
最終貢獻也不為人知。
即使最終能冰釋誤會，但能見上的也是女兒最後一面，
原本應該是陪伴女兒長大，那些逝去的時光也不會再回來。


--
",2020-10-13 16:49:22,[ 雷] 星際效應,星際效應,5,1
8,Arthur818 (桃之夭夭),"
雷文防雷資訊頁



~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~


















~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

馬修麥康納的演技真的很到位
臉部細膩的表情都能傳達出當下的情感

有別於他在紳士追殺令那種雅痞的氣息
他在星際效應則扮演一位父兼母職的爸爸

我覺得比較深刻的哭點
一是Cooper認為只有自己能擔此重任
在家裡跟小Murphy解釋 希望得到她的諒解
但小Murphy始終不想他離開
內心糾結的Cooper
只好傷心的開著他的耐操好用卡車
邊流淚邊開往一條可能回不去的旅途
此時小Murphy哭著跑出來 但你爸已經走遠了

二是最後
Cooper很幸運（主角光環）的被第五次元的人
給救了 剛好又被地球人找到帶回來

醒來得知 年老Murphy特地冬眠起來
為了等他老爸回來 見他最後一眼

當時還算年輕的Cooper 看到白髮蒼蒼的女兒
心中一定酸酸的

他本來可以不顧一切
好好的陪小Murphy一起長大
看著她慢慢長大 變成成熟的漂亮女孩
陪她嘻笑 陪她哭鬧
見證她嫁人的那刻

誰曉得他在女兒十幾歲的時候離去
回來已是即將天人永隔的最後一面

當Murphy向Cooper說
：你走吧 父母不該看著自己的兒女死去
到這 眼淚已止不住
儘管已經是第二次看 心還是酸酸的

電影結束後 開始跑字幕
很意外 完全沒有人要離席的意思

整場電影下來
幾乎沒有任何人發出聲響
大家都很認真的對待這場電影
當然拍手也沒有

直到連字幕都跑完
影城員工還跑進來確認
以為裡面的人都昏迷了
沒半個人走出去
或許 看完的人都有些許沉重跟感動吧

---------題外話---------

當時聽到重映的消息
實在喜出望外
前陣子在家看完就在想
若能看大螢幕的版本搭配音效
一定很過癮

重映首日 衝最早場到高雄遠百看iMAX

這是我本來想像的海報


實際上 嗯？

也很美 不過本來以為是科技感的海報

前一天有稍微爬文
我也很想去大直美麗華看iMAX
不過真的太遠
只好就近去螢幕小的高雄遠百威秀

--



澄清一下 沒說不美 只是跟科技風格有反差

這裡超揪心 Cooper私心希望掀開是Murphy躲著


我覺得看這部的觀眾素質都很棒！安靜的觀影
我拿到的當下也矇了 雖然也很美啦 但風格有差
真的超落寞 只剩下自己跟布蘭特
欸不是 拍手的人永遠不知道為什麼要拍哈哈
觀眾影響當下的觀影體驗！真的很值得看
你們都是性情中人！情感細膩
再幫他用個框保護
半圓型！！？
欸對 才剛哭就切換了 超空虛
取個近似值XD 一樣可愛啦！
我平常都看數位 但這部一定要看IMAX的星河

啊勒 直接復刻嗎…
突然有種成就達成的感覺！
只能說 還行！螢幕是硬傷 音效倒還不錯
太燒啦！我真的超想去 不過真的太遠了QQ
有機會一定去朝聖！私心希望南部趕快蓋一間

震撼到連爆米花都沒人在啃了XD 超認真
還是可惜在太早轉場了 來不及感動
超拼欸 不過很值得！
可能賣太好QQ
真的 好的觀眾決定當下的體驗
",2020-10-12 23:09:40,[雷] 星際效應iMAX 空氣凝結的影廳,星際效應,5,1
9,joker123911 (),"
雷文防雷資訊頁
















~~~~~~~~~~~~~~~~~~


星際效應，2014年與朋友進美麗華數位影廳欣賞完畢

走出影廳，細雨紛紛，點綴著心中澎湃洶湧的感動


2020年，星際效應早已觀看無數次，每每推薦一位朋友就重新複習一遍

再次走出美麗華的imax影廳，那些重複無數次的冒險故事又再次充滿著內心

那些浩瀚的星空宇宙畫面彷彿穿越了時空次元

在這六年間激盪，連結每個為這個故事動容的你我

在我們每個人內心的宇宙成長茁壯，過了好些年思想心境各有不同

但每每欣賞完都能再次被觸動

強烈推薦每個人能再進一次電影院，欣賞imax影廳無裁切的優美畫面

浩瀚的星空、一望無際的玉米田、令人敬畏的米勒星球

充滿科幻色彩的蟲洞穿越還有黑洞

都有十足的沉浸感

這部作品恰到好處的節奏控制、磅礡觸動人心的配樂、情感的鋪陳、唯美的鏡頭

細膩的安排以及適當點綴的科普對白，都讓人觀影過程非常舒適融入

數遍的觀賞都覺得三小時稍縱即逝，非常享受

電影開頭不久車子在玉米田旁爆胎

經典的配樂一出現，眼淚就不受控制的掉下來

庫柏說著莫非定理，有可能會發生的事就一定會發生

還有兒子接近懸涯停車時，庫柏說典型不知變通的死腦筋

這些細小的對白鋪陳都不自覺的觸動著我

不管看幾次都覺得很棒

布蘭德的愛理論，這段長對白首次觀影時覺得稍微出戲

但多看幾次之後越能慢慢感受那種虛無飄渺的感情連結

也是電影很棒的一個主軸

整部電影巧妙的利用被重力影響的時間差異

描繪人類內心的感情、掙扎與人性

有豐沛的親情、愛情，也有懦弱痛苦，害怕失去與期待

愛如此穿越時間空間，超越著人類理解的時間重力

甚至是穿越次元

就像過了六年，影廳裡依舊坐滿了被感動的人們，被連結在這個影廳

觀影結束後，漫步共享著這個台北午夜的細雨

電影，也許無法契合或感動每個人，畢竟觀影體驗非常主觀

但我認為每部電影只要感動、娛樂到任何一個人

讓你為它觸動，就是一部值得的好作品

推薦給大家再進一次影廳，享受這份感動

謝謝大家


--
別人笑我太瘋癲
我笑他人看不穿

--
哈哈我是覺得還好啦，畢竟我也不喜歡被雷，順手一下無妨
沒注意抱歉，不是故意不改，已修正
感謝推薦
祝您有個美好體驗
感情和人味的話，我也非常愛頂尖對決，犧牲的入魔情感堆疊的非常棒，不過因為題材，畫面上就比較不需要看大螢幕
",2020-10-12 00:02:43,[好雷]星際效應重映心得,星際效應,5,1
