author,contenttext,date,title
gaiaesque (一起來聽techno八 o'_'o),"











~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~









先說 薇諾娜瑞德好漂亮

再談這部片 我知道妳們在幹嘛
要做什麼實驗

想要了解在被逼迫之下的環境
人們的服從心裡會做到什麼樣的程度

即使那是在良心上會有愧疚感的

但看到一半我已經受不了

不斷打破第四面牆
然後對觀眾說教

我覺得這部片大概看前半小時就可以了...






--


                                                          

--
",11411212020,[普雷] 實驗者
hotmia (等待著一種熱情),"
雷文防雷資訊頁



~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~



~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~


這部片的確完全不能帶任何的智商來觀看，如果嘗試去理解劇中任何人物的思路，就只會
像是聽到樂團表演不成調的感受。

所以我們不討論夏洛克跟麥克羅夫特被智商限制的處理，單純的看Ebola是多麼的

蠢萌？

舉個具體的例子來說 Enola 從小被媽媽教導，要有女性自主的意識，所以她從大哥（抱
歉不能說他是Mycroft 這樣太侮辱Mycroft) 的指導下逃出，然後遇到了媽寶侯爵（也是
另一個反抗權威的象徵） 忽然插入一個聲音說媽媽有說不要為了男人去做事，下一秒就
開始為了媽寶侯爵東奔西走，看得我整個問號，所以Enola就只是個不聽話的熊孩子嗎？
整部片就是個反抗期的少女？

整部片看到另一個反天才的點，則是當Enola假裝寡婦來到侯爵家中，反派祖母只不過稱
她為Miss她就嬌羞的紅了臉，完全忘記自己是假裝成寡婦的身份，讓人想問具有敏銳觀察
力能把自家女僕刷的團團轉的「福爾摩斯」就這樣被一個老婦人套了話，到底是女僕太笨
還是老婦人太聰明？

劇中打破第四道牆的手法想要創造更多的活力跟有趣之處，但是除了她的臉，我完全感受
不到從那張嘴吐出的話語有任何的詼諧或機智之處，反而因為過度的使用而增加了煩悶的
壓力，連帶的臉也漸漸的看不下去，後半段的內容我已經失去了注意力，只期待這部作品
不要有任何衍生內容浪費資源了。

供大家參考


--
",11211572020,[負雷] 少女福爾摩斯
gaiaesque (一起來聽techno八 o'_'o),"











~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~









這部也是一個銀行搶劫的經典
幾個搶犯計畫了拿一家銀行的392保險櫃裡面的東西

其中女嫌犯的ㄋㄟㄋㄟ好大 >///<

比較厲害的是
Frazier被主嫌耍得團團轉
而當下其他人已經要進攻救人質時

搶犯他們也有個很棒的逃脫計畫

有些bug不談
當你看到中後段就能了解

搶犯利用了Frazier
從頭到尾






它們得到了好處
當然也回饋給了Frazier

只能說丹佐華盛頓真的很帥
雖然片中看起來是到處吃鱉

但是後面穿西裝拿個Cartier鑽石去找市長那段
好帥啊 >///<

看過n次了
還是很好看

推薦!


--


                                                          

--
",10906082020,[好雷] 臥底
cimo764 (蘋果西打),"
雷

















之前在第四台看到這部但中間後面都沒看完
剛剛去補完
先說我的心得
1.我上網查女主角是誰 原來是碧昂絲啊 前面造型我都認不出她呵呵
2.整部片我覺得怪醫杜立德演的最好

另外我不太喜歡他的結局
＜夢幻女郎＞是改編自“至上女聲”這1960年代的美國組合
戲裡結局是四人在台上重聚 最後告別

但現實是艾菲退出 幾年後在家中身亡 得年32歲 看來現實是殘酷的

既然是真實故事改編的
那我想問劇中的“吉米”是對應到現實世界的誰啊?

--
",10008352020,[討論] 夢幻女郎（雷）
LittleDiDi (小弟弟弟弟大),"

大家好
我是專看恐怖片的LittleDiDi
我又來介紹恐怖片了

最近開始清空一些看過的冷門片單
有興趣的朋友可以看看我的介紹參考



Blog圖文版會更精彩



年份：2018

國別：加拿大

類型：懸疑、劇情

導演：François Simard、Anouk Whissell、Yoann-Karl Whissell


[劇情簡介]

1984年夏天，四個青少年懷疑附近的警察鄰居是近期連環殺人案的真兇，他們為了找到犯
罪證據，花了一整個夏天的時間監視他。但隨著真相逐漸明朗，他們卻反而陷入更驚人的
致命危機……

(以上引用自開眼電影網)

--

一部時空背景設定在上個世紀八零年代的復古片，本來以為是描寫青少年懵懂天真的小清
新，沒想到卻是一部略顯沉重的青春輓歌，結局頗有後勁。

電影描述由Davey、Tommy、Dale、Curtis四個人組成的小團體，閒來無事就是聚在一起喇
迪賽瞎YY，或是躲起來用望眼鏡偷看對面的小姐姐，某天Davey突發奇想，基於某些理由
懷疑起隔壁那個和藹可親的警察叔叔，就是這陣子小鎮頻發生的青少年失蹤案的凶手，繼
而發起偵探遊戲，相揪來查真相。

--

關於劇情細節我們晚一點再說，先直接奉上我對本片的看法。

不可諱言，本片就設定上不免讓人想起幾部類似的作品，小鎮疑雲與青少年的組合，如影
集《怪奇物語》與史蒂芬金的《牠》，劇情架構則又與《恐怖社區》有幾分神似，所以說
這是一部套路電影也不為過。

--

雖然說本片有著諸多其他電影的影子，這並不代表就沒拍出自己的東西，電影營造出一種
難以言喻的張力，拉扯在會否只是這群小屁孩年少不懂事，無的放矢製造的一場鬧劇，還
是隔壁的警察叔叔真就是一個戀童癖殺人魔，電影在營造如此這般曖昧的懸疑氣氛算是有
別於其他類似電影之外的特色。

會讓我有這層想法，那是因為這部片我聯想到曾經的一本叫《夏日死亡紀事》的小說，會
不會跟那本書一樣，恐怖的殺人案只是假議題，實際上描寫主角群們各自的煩惱，與小鎮
的氛圍，才是這部作品想表達的重點。

--

至於真相如何，這邊就暫時保留給有興趣的朋友自己去看吧，不過本片的結局是挺黑暗、
挺反套路的，畢竟若真要說這部片還真的是有點無聊，以上那些講的也只能說是我個人覺
得拍得還算有意思的地方，離好看其實是有點距離，而且還有很多作死自己，意圖使人翻
白眼的橋段。

至於結局如何，懶得看的就再接下去看我說吧。











###########################我是雷線#############################











為了表達出結局帶給我的震撼，我想有必要稍微敘述下本片的劇情，營造一些角色代入感
，不然我直接爆雷，大家肯定很難感同身受。

劇情是這樣的，戴夫是個送報少年，某天送報的時候碰到隔壁的警察叔叔麥基，兩人一陣
寒暄，麥基提議家裡有個東西很重需要他幫忙搬運，還表示會提供小費，有錢可賺何樂而
不為，戴夫進去之後才發現鄰居家的地下室烏漆抹黑，還一堆雜七雜八，但過程並沒有什
麼異樣，只是離開的時候，戴夫注意到原來還有另外一個跟他同年紀的孩子在麥基家，不
過當下也不以為意，隨即離去。

--

幾天過去，戴夫吃早餐的時候發現，牛奶盒上尋人啟事上的人影，便是那天他看到待在麥
基家的那個孩子，於是，在跟死黨的例行聚會上，發表他認為麥基就是這陣子小鎮發生的
青少年連環失蹤案的綁匪的驚天言論，還邀大家玩起偵探遊戲，不假警察的力量逮到兇手
，成為小鎮的英雄。

雖然其他人也是半信半疑，但還是手疊手表示支持，或許這就是這年紀的小朋友，為了同
儕友誼勇敢無畏的寫照，接下來就是一連串調查麥基的事情，不過再更進一步敘述後續發
展之前，我想有必要說說四個主要人物的人設。

--

戴夫無疑是這四個人之中最幸福的，爸媽婚姻幸福家裡生活也不錯，隔壁的小姐姐跟他的
情愫也很順利發展當中，湯米的家就很不平靜，父母經常吵架，(應該是)哥哥的放浪也連
帶影響他學壞，抽煙喝酒偷竊樣樣來，從某段未成年駕車被警察攔下，立馬認出他表示湯
米本來在小鎮就是問題少年出名，胖子人很老實，也是整起活動之中戴夫最大的後盾，但
是家裡一樣也不大好，是個單親家庭，媽媽經常為了工作累到懷疑人生，胖子雖然粗曠卻
有個細膩的心，想幫助媽媽卻無奈自己還只是個毛都還沒長齊的小孩，只能默默依偎陪伴
，眼鏡仔家裡應該也算正常，只是電影沒太多著墨就不多說了。

接著就是一連串調查麥基的行動，不得不說導演在拿捏驚悚與懸疑的表現非常優異，在揭
發真相之前，麥基表現出來的形象始終是無害的，甚至到海灣節更有點小逆轉，那些他們
懷疑是拿來埋屍體的土，其實是用來海灣節活動用的，這也是為什麼我說一度懷疑麥基是
連續殺人魔是假議題，但是當這群人在進行調查的時候，透過導演優異的營造手法，卻又
讓你感受到麥基強大的威嚇力，有好幾幕都不盡讓人對這群少年捏一把冷汗，又有一堆跡
象顯示他很有問題。

--

於是電影就是這樣在麥基是無害還是有害的天平擺盪，不過畢竟大家都看到這裡了，我就
直接暴雷，麥基確實是小鎮頻傳的連環綁架殺人魔，戴夫一行人背著身敗名裂的闖入麥基
家中，確實發現他家各種怪異擺設，還發一具腐爛的屍體就躺在浴缸，以及一個失蹤少年
，如此人贓俱獲，警察對於自家有鬼這件事感到蒙羞，並立即祭出全國通緝來對付麥基。

這讓主角戴夫這陣子以來的調查有了成果，也間接證明了自己的清白，本來以為終於可以
鬆一口氣，實際上真正恐怖的才要到來，麥基透過對這個小鎮的瞭若指掌，潛入戴夫跟小
胖的家中，把他們綁走。

--

姑且不說這些人也太放心，很黑暗的是，戴夫跟小胖被放逐到一座小島上跟麥基玩起抓鬼
遊戲，在那裡戴夫才發現為數不少的少年屍體，小胖還被抓個正著被割喉，戴夫也不例外
，然而，麥基卻沒有殺了他，反而留他活口。

是的，震撼的點便是這裡，其一是麥基不讓戴夫死，是要讓戴夫永遠都生活在恐懼之中，
其二，是要讓戴夫背負著害死胖子的愧疚活下去。

兩者疊加，正港的生不如死。

--

這樣的結局除了反套路，還有反英雄主義的概念在裡頭， 這部電影告訴我們這樣的道理
，逞英雄的後果與嚴重性，就像本片的少年們，你以為很好玩，其實是置自己於危險的處
境，除此之外，還有惋惜的成份在裡頭，如果不是戴夫多事，胖子不會死，大家都還是好
朋友。

不過最靠北的還是，戴夫的爸爸真TM超級豬隊友。


即刻短評(滿分5)

劇情： 3     >>很多電影的影子，但也不失有拍出八零年代的氛圍
結局： 4     >>這結局真夠黑暗，正港的生不如死
血腥： 2     >>只有一幕死人臉
氣氛： 4     >>拉扯在麥基是有害還是無害的手法很一絕
推薦： 3.5   >>有些情懷，就為了這結局還是能看看啦






--
",302324392020,[普好雷] 84那年夏天 - 不是每段冒險都有美好結
ueiwei (盲羊),"





在catchplay+上看了2018年紀錄片《幸福定格》。印象中在它上映的時候，朋友看完當週
就跟我分享。金魚腦記不得當時朋友說了什麼，只記得有去查這片是《築巢人》、《茱麗
葉》的導演沈可尚所執導，由實際訪談幾對婚齡不等的夫妻組成的一部紀錄長片。

「婚姻題材的紀錄片」其實不是太吸引我，所以我就放在一邊，沒有去注意。直到最近有
網友大推這片，才想說在catchplay+上面查看看，有片就直接看了。

《幸福定格》有比我預期地好看，剪輯得十分用心。以第一對（應該是中國人）夫妻作為
對照組，後面幾對夫妻顯得更加貼近我們熟悉的「婚姻」。第一對夫妻說自然而然就走在
一起，沒有誰先說什麼，也沒有怎樣決定性的一刻，就是一路這樣下來。在我自己成長過
程很難想像他們說這樣子的過程，不過，順著一路看完《幸福定格》，卻隱隱覺得像第一
對夫妻那樣簡單的在一起、簡單的結婚，似乎也是一種幸福。

每一對夫妻有各自的認知、處境和衝突，有些是比較思想上的，有些是比較實際層面的。
導演從「你們是怎麼決定要娶／嫁對方？」的問題開頭，中段進入婚禮（老實說台式婚禮
是我無法接受的橋段，那整段都讓我超想快轉），後面則處理婚後（特別是生了孩子之後
）對彼此認知的轉變、不能接受對方的地方、壓力和衝突、溝通的方式...。電影沒有明
說他們能否繼續與對方走下去（畢竟是紀錄片，是現實人生，沒有什麼是可以說準的），
但卻將他們真實生活裡遇到的狀況記錄下來。

這幾對夫妻的狀況也許不能代表整個台灣（更不用說更大的範圍）夫妻的狀況，但看他們
訴說自己感受，彼此在攝影機和導演的觀看中對話，確實讓人看到很多自己或自己家庭（
也許是父母）的影子。

回頭去想，「婚姻」不是「婚禮」，但確實與最後導演剪入的那段「婚禮誓詞」密切相關
。現實婚姻完全有可能超越這片所能呈現，但「未知」總是比較恐怖，《幸福定格》把這
些人的故事帶到觀眾眼前，靜靜地說：你看？其實也就這樣。

也許有人會覺得《幸福定格》根本婚姻恐怖片，但已婚的人大概覺得它連百分之一都沒有
拍出來。

我個人的感想呢？還是前陣子跟朋友分享過的一句話：如果看恐怖片多的人在末日比較大
生存能力（似乎是一個什麼研究報導？），那麼多看一點婚姻恐怖片，也許也可以在婚姻
末日多有一些生存力（不要問我婚姻末日是什麼？像末日一樣，你遇上了就知道了）。

#幸福定格


***

這裡是我的樂園:



FB:



--
",302240272020,[好雷]幸福定格LOVE Talk
peter790928 (陌綠小豆),"

對尼爾.阿姆斯壯來說，登上月球是希望能回到女兒身邊。


直到2018年看了《登月先鋒》我才了解，原來「尼爾．阿姆斯壯」（電影直呼為尼爾）

不僅代表美國英雄的表面風光，他還是一位傷心欲絕的爸爸，曾因失去了寶貝女兒

凱倫（出生2歲就因癌症去世）而深陷在悲痛中，更出於這樣的心理創傷，自此之後

丟下妻兒不顧，成天把自己鎖進月球的追逐大業，排斥再度成為一位盡責父親。




《登月先鋒》不大書特書登上月球的事蹟有多麼波瀾壯闊，美國旗飄揚的畫面幾乎沒有，

卻讓我們聽見尼爾的沉默寡言，掩藏了多少對女兒的思念。


有圖網誌版： 

~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~


01　【我想去上班了】


棺木正緩緩下降，齒輪聲響提醒尼爾，現實是那些泥土，沒有別的了。


凱倫過世後，尼爾最記得她髮梢的形狀，像流沙一樣柔軟，可以從指尖慢慢滑落。

他撩撥手鍊上的白色串珠，上面刻著凱倫的名字，一顆珠子一個字母。時間才下午五點半

，卻清晰可見月亮在樹梢上。認識的人都來了，大家小聲交談，都知道尼爾不喜歡社交場

所，更別說在凱倫的追思會上。



尼爾緩步穿梭在人群中，細數桌上滿滿的菜餚，幾乎沒被誰動過。隔著紗門，小兒子

從庭院走來，央求爸爸：「你要來陪我玩嗎？」

「我應該......我得去幫你媽媽了。」聽見尼爾回答，小兒子只好點點頭轉身走去。

尼爾垂頭沉思了半响，心口突如其來的疼痛，連忙踱步離開人群，轉進一間木工房，

把桌上工作的筆記一本本闔上後，沿著椅身慢慢坐下。終於忍不住，他開始掩面哭泣....

一陣傷心後，尼爾把手鍊收進抽屜。




隔日一早，珍妮才剛醒來，只見老公守在身旁不知有多久了。


「我想去上班了。」他說。


----


每個人面對傷心的反應不同，有些人需要時間沉澱，歷經排遣和消化後，可以慢慢回歸於

正常生活，帶著結痂繼續前行。而有些人則和尼爾一樣，所謂「回去上班」突如其來的有

些怪異，就在女兒追思會的隔日，像是不知道怎麼拿捏自己的情緒，需要靠紀律與規矩來

逼迫自己忘卻傷心事，這樣很不健康，而且是會繼續生病的那種任性執傲。



如此一來，尼爾是怎樣的一個人，我們可以略知一二。他很愛很愛女兒，這無庸置疑，也

正是因為他始終無法走出失去女兒的傷痛，放不過自己，尼爾用事業心來替換傷心，成為

孤傲偏執的工作狂人，最辛苦的反而是與他相處最親近的家人，尤其是妻子珍妮，必須要

忍受尼爾往後都閉鎖在事業之中，不再理會也不照顧家庭的鴕鳥心態。



這種自私，連尼爾最好的朋友「艾德」都看不下去了，想勸勸他要多花時間和妻兒相處，
卻碰了一鼻子灰......





02　【只屬於自己的月夜】


艾略特駕駛的T-38飛機降落時墜毀，聽說當時起了大霧。


尼爾也去參加了朋友的追思會，再熟悉不過的場景，喚起失去女兒的傷痛，尖鉤子扎進心

坎內，讓他感到十分不安與脆弱。


「我們能走了嗎？」尼爾走到珍妮身旁，她正弄著要端出去的茶水。

「嗯......現在還不行。待會客人走了，我想要幫忙瑪琳一下。我不想我們都走了，只留

她一人來收拾這些。」尼爾聽了，若有所思的來回踱步，突然一聲不響推門離開。

珍妮趕緊往外一看，只見尼爾把車開走，竟然丟下她一人。



追思會結束後，愛德夫婦幫忙載珍妮回家，在後座一路道歉的她，覺得非常丟臉難受。

「對不起，發生了離譜的事，居然要這樣麻煩你們。」珍妮無助地說。

「沒事的，珍妮。」愛德夫婦同聲回答。

「尼爾他......我們參加了很多的葬禮。尼爾有提起過我們的女兒凱倫嗎？」

「沒有。那他有跟你好好聊過嗎？」艾德反問。

「沒有，從來沒有。」珍妮說。

－

月色在單眼望遠鏡中，看來如此貼近。

「嘿，兄弟。」剛載珍妮回來的艾德走進尼爾家後院，靠近獨自觀察月亮的尼爾。

「今天你應該要陪在珍妮身邊，也需要多陪孩子玩，或哄他們睡覺。」艾德說。

尼爾放下望遠鏡，低頭不語。艾德繼續說：「像這樣的機會......」尼爾突然打斷艾德說

話：「你覺得我站在自家後院裡，是想找人說話嗎？」

艾德聽了一臉疑惑：「你說什麼？」

「你覺得我站在這裡，是在等著誰來找我談話嗎？」尼爾瞅了艾德一眼後，舉起望遠鏡繼

續望向那顆屬於他的月球，不再搭理艾德，艾德只好默默離開。



----


我承認看這段的時候覺得尼爾超XX。

好啦，當然尼爾有自己的心路歷程，只是我覺得同樣是失去女兒的珍妮，比尼爾堅強，

更顯得一位母親承擔起家庭的堅毅與偉大。


我想對尼爾而言，月球是一處可遙寄思念之情的應許之地。他一定常獨自對它說話，想念

時就用望遠鏡看看它，就像是女兒還好好的一樣，被安放在夜空彼岸，直到有一天，他會

親自踏過一行足印來到女兒身邊。



我們都知道尼爾最終成功踏上月球，卻無人能體會他當下的心境。身穿密不透風的太空服

，小心翼翼漫步到月球的小西坑，那是隕石鑿出來的黑暗面，尼爾親手將凱倫的手鍊拋進

裡面，除了傾訴無窮無盡的思念，也祈求弭平心裡孤獨寂寥的缺口。


無聲的月球與尼爾的寡言絕配，也許值此之際，他感受到了心中真正的安寧。



／深吻電影院，我們下次見：Ｄ

--
",302221122020,[好雷]《登月先鋒》：踏過一行足印來到你身邊
skyeCTC (skyeCTC),"

雷文防雷資訊頁







~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~







~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

























衝早場首映，沒想到人還滿多的，大多是年輕人，一兩個中年人。

【總結感想】
①好看又好哭，但對我來說還不到需要二刷的程度。
②片尾工作人員名單跑馬燈沒有特別標示京阿尼大火的死者名字，但我們都知道其中有人已
③片尾跑完有幾秒鐘的小彩蛋！
④片中某個手勢被劇情賦予意義，但這個手勢在台灣老人拍照中也很流行，讓我瞬間感動全

【作畫】
京阿尼不用多說……手繪的水怎麼可以如此波！光！粼！粼！！？
所有的水波、光影和穿透效果都讓人眼睛捨不得移開！

【劇情故事】
雖然薇爾莉特和少佐的故事是主線，但說白了也不過就又是一個愛情故事，我對這方面沒感

讓我哭得最慘的反而是片中另一個故事，大概是因為講的是親情，而多數人對此比較O有共鳴

副主線中的主角尤里特是名即將病死，因此請人偶來寫遺書的小少年。
他的彆扭和一般人沒什麼兩樣，明明知道不應該對爸媽、弟弟和摯友說出這麼兇、這麼壞的

最後離世前和摯友的對話來不及寫成信件，這時導致人偶沒落的電話反而將兩人瞬間連結在一起，做完沒有最後的道別。
遺書中寫道，媽媽的煎餅很好吃、很高興成為爸爸的孩子、囑咐弟弟要連同自己的份多跟爸媽撒嬌，因為他其實很想撒嬌但再也沒有機會了……弟弟年幼不懂死亡，聽完尤里特寫的遺書還無憂無慮的撲向哥哥的屍體抱住……
乾乾乾乾，整個哭爆啊Q口Q

【敘述方法】
以安的孫女，黛西，的視角進行倒敘，中間來回穿插過去及現在的片段，帶給我的感覺很起雞皮疙瘩。

尤其是知道當年那個每年都會收到過世母親生日卡片的安，已經長大成家當了外婆，甚至不久前剛去世，不禁令人恍惚懷疑這一下子的，時間到底過了幾十年？CH郵遞公司的大家都去哪了？都還好嗎？有幸福嗎？

黛西在外婆的喪禮後和媽媽起了齟齬，隨著閱讀安歷年收到的生日卡，她不禁對因識字率提高、電話普及而沒落的自動手記人偶——薇爾利特·艾佛加登，感到興趣。
臨時起意出發追隨著足跡，黛西回到儼然變成博物館的CH郵遞公司、遇見少女時擔任公司櫃檯的老嫗、聆聽歷史並前往薇爾利特的最終站——18歲離開公司後，薇爾利特成為了某座島嶼上長久且唯一的自動手記人偶，該島甚至出品了以她為形象的郵票。

這一路上的旅途，讓她更加了解薇爾利特這名人偶——即便那是比她外婆還要年長的人，即便故事中的人們很有可能都已經離世了。

最後，黛西在島上寫了封信回家，信中傳遞著我愛你。

【主角群】
薇爾利特：別的女主角追人也只會追到船尾就停，結果妳竟然就給我直接毫不猶豫跳海游回岸邊XD
少佐：嗯……我對他沒什麼感覺，大概是因為前面劇情出場次數不多，角色也多出現在回憶中，沒怎麼琢磨，所以沒鋪墊就沒感情(聳肩)
社長：果然是操著一顆老父親的心，許多段落都讓現場觀眾笑了好幾次！不過為了薇爾利特氣到抓大佐衣襟、吼少佐，這種護短真的很暖心大佐：或許過去對薇爾利特不算好，但在戰爭結束後，失去弟弟的他也漸漸反省、改變，最後變回和少年時期一樣，根本傲嬌啊www其中有幾段和薇爾莉特的互動也很有趣，也是觀眾會一起笑的片段～
貝內迪克特：嘿就是那個穿高跟的金髮性感男子，在此片中依然穿著騷包的高跟ww被社長抓去打網球，還嘲笑社長太保護薇爾利特。為了查他的名字特地去google，才發現原來在原著小說中他竟然是一位忘記過去記憶的前傭兵！？他還忘記自己有一個妹妹！？
嘉德麗雅：黑皮熟女，據維基所示，原著小說中是名前拳擊手，雖然表面上喜歡社長，但實際上喜歡高跟金髮男。

#TQ看電影 #TQ乙腐宅
#ありがとう京アニ


-----
Sent from JPTT on my Samsung SM-G610Y.

--
",302215022020,[普雷] 紫羅蘭永恆花園最終話劇場版
sginkgo (腐海生福田),"
懷著頗高的期待進戲院觀賞，但挺失望的。

雖然劇本不到差勁的地步，但毫無驚喜，甚至可以用死魚眼推論出後來的發展。

50週年版本的電影只有這種程度實在不能說值回票價。

好在我這次選了凱擘影城，持富邦信用卡看這場電影只要180元！

我拿這張卡這麼多年了，還是第一次有優惠啊～。

以美術來說，只要站在大雄這邊、通曉人意的恐龍就是可愛版，

相反地就是寫實風格的恐龍。我總覺得這樣的安排挺奇怪、突兀的。

而重點是，對我而言這次的主角雙胞胎恐龍沒有比上次的蛇頸龍可愛。

身材較差的綠恐龍，很明顯地是大雄的鏡像，二者相輔相成，教育意義很強，

故事走向基本上就是大雄與綠恐龍彼此鼓勵或學習，但一點也沒有感動我。

「一定要學會某個技能才能生存喔！」電影一直反覆訴說這件事，

我不知道日本的小孩連在動畫裡都要學到這種教訓是會更努力還是更想死呢？

（但我想對竹內結子說你千萬不用再努力，耍廢也是可以的...題外話）

看似反派的時空秩序維護者也很沒用，他們的出現到底是要幹麻......。

辨認不可阻礙大雄的作為的卡片道具沒有說服力。

大雄為了留住恐龍的生命而反抗時空管理局，彷彿有如天氣之子的男主角一直違抗警察，

我覺得警察的角色在中二電影裡實在衰小，

這種角色天生適合當作陷入創作瓶頸的編劇推動故事情節的工具。

時空管理局的女上司跟男下屬似乎可以結合成同一個角色。

大雄固然無用，但優點是同理心很強、同情弱小，

這個劇本還不算有好好發揮這點，反而讓他有點任性，而且真的很笨。

好吧，因為他的連串過失，反倒造就好結果。

但是我已覺得有點煩了，感到隨便編劇怎麼編吧快讓我看完就好。

故事中的難題被解決，只能說是編劇要這樣，所以劇情才這樣的。很可惜。

結論是，故事與美術設計都不是很有創意或心意，所以我覺得在MOD看看就可以。

--


但是我們不知道哪個在外頭，哪個在裡面。

                                               

--
",302156252020,[普雷] 電影哆啦A夢：大雄的新恐龍
MingTien (可是),"
電影板首po。

這部電影很好看，可惜沒有心得文。

我來拋磚引玉。

以下微雷，但每個人感動的點都不一樣，應該不至於影響觀影興致。

手機排版，若閱讀不易，敬請見諒。

我對聖嚴法師知之甚少，但沒看過佛教相關的電影，經朋友的邀約贈票，欣然前往戲院。
不得不說，在電影放映的前一刻，都還有點擔心《本來面目》是那種傳教式的無趣電影或
是教徒自high的歌功頌德宣傳；出乎我意料的，《本來面目》是一部激勵人心、發人深省
的電影，浪漫卻不濫情。

電影開場在紐約，聖嚴法師和他的第一位弟子（一位後來還俗的美國白人）在大雪紛飛的
街頭分享一個焙果。（看著師父剝開焙果的那一幕動畫，我腦海中浮現的是耶穌顯現五餅
二魚神蹟的場景。）我的心裡馬上出現了好多問題：為什麼一個出家人要跑去燈紅酒綠的
紐約？師父會說英語喔？為什麼他的第一名弟子是美國人？我的疑問來自於對於佛教徒狹
隘的見解。我心目中理想的佛教徒是出世的、是出淤泥而不染的、是脫俗而難以企及的。

聖嚴法師讓我看見了一種以天下為己任的知識份子的風骨，他的目標是讓每個人都有尊嚴
地活著——這個目標看似過於崇高而不切實際，但在疫情艱鉅的2020年，這個課題顯得格
外重要。如果我們真的是來受苦受難的，那我們該如何處世、如何安定自我？宗教跟信仰
可以如何幫助我們？

電影中師父直接講述的話很少，但都很有意思。電影中節錄了一段他在2000年於聯合國總
部召開的「千禧年世界宗教與心靈領袖和平高峰會」中發表的演說：「如果發現你所信奉
的教義，若與促進世界和平抵觸之處，都應該對這些教義作出新的詮釋。」我看到了會場
中有來自猶太教、基督教、伊斯蘭教等世界各地的宗教領袖，師父這般有智慧的發言真是
令人折服。而電影中他人對聖嚴法師的印象和話語讓人看見了師父言行的直指人心，看著
師父昔日在日本學習時的同窗輕描淡寫地說道：「我很想念他。」時，我真的很感動。

整體來說，這是一部很精彩的電影，除了幾個過場有些沉悶，後半部步調有些慢；但瑕不
掩瑜，這是一部不落窠臼、頗有企圖心的好宗教電影。電影中不免俗地引用了一些出自佛
教經典的文字，對普羅大眾其實不是那麼好懂，好處是電影有中英文字幕，看不懂中文的
人還可以看英文字幕偷吃步一下。

這是一部適合所有人看的浪漫電影，可以看見聖嚴法師對佛教和蒼生的無條件正向關懷。
他入世而積極，無所不用其極地跨越語言和文化藩籬來弘法。（用坐禪的方式來吸引迷失
的嬉皮體驗佛教，真的很有一套！）電影演的是一位和尚的生平故事，需要看電影的人抽
絲剝繭、旁敲側擊去勾勒、形塑這位出家人和觀影者自身的本來面目，是一部極具互動效
果的益智電影。

這部電影的放映場次有限，僅於台北信義威秀（14:00）、台中Tiger City威秀（13:20）
、高雄大遠百威秀（13:30）的十月份每個星期六日，每天只有一場，有興趣的人請上威
秀官網訂購。

《小丑》跟《寄生上流》都是很好看的電影，但看完之後心情會變得很差；《本來面目》
也是很好看的電影，看完之後（即使看電影時哭點很低的人會哭得很慘但）心情會變得很
好唷！

--
",301755192020,[好雷] 看見自己的本來面目
