amount_reviews,critics_consensus,date,duration,genre,images,rating,title
79,把眼睛閉上，就能慢慢看見將來會蓋在這裡的房子喔！  信吾（長渕剛）是鎮上首屈一指的木匠工頭，給人滿滿「硬漢」印象，渾身散發職人光采的他，同時也是個古道熱腸的男人，他的夢想是希望帶給所有人快樂與滿足。他有一位能幹的妻子美沙希（飯島直子），以及正值青春年華的女兒柑奈（山口麻友），三人過著平凡幸福的日子。直到某天，信吾在工地遇見了美女保險員芽衣（廣末涼子），芽衣是一名單親媽媽，與小學二年級的兒子龍生相依為命。總是對美女無法招架的工頭大叔，不僅買了保險，還莫名答應芽衣把龍生帶回家照顧二個星期。面對害羞內向、缺乏父愛的龍生，信吾決心要好好鍛鍊龍生，讓他成為一名正港的男子漢。龍生逐漸敞開心房，真心愛上這個像是「父親」一樣的工頭大叔。隨著兩人感情愈來愈好，信吾默默作出了一個決定，要為芽衣和龍生母子親手打造一間房子，卻也因此和妻子、女兒，以及徒弟高史（瑛太）關係陷入緊張，直到某天，一名自稱是龍生父親的男人突然出現…。  【關於電影】  長渕剛出道40週年首次挑戰柔情主題，自然傳遞情感的溫度 《太陽之家》以柔情為主軸，自然表達各種不同形式的愛。故事以長渕剛飾演的川崎信吾為主角，講述他在面對人與人之間的複雜關係以及對家庭羈絆的掙扎，同時如何去堅持屬於自己家庭之愛的信念。作為長渕剛出道40週年的作品，其中有許多故事與意義都來自他的想法，他在訪問中說到：「每個人都會對劇本擁有不同的想法、激情與愛，但這些情感並不會自行從劇本中生長，而演員便要藉著這些情緒與專業讓劇本更加立體。」因此許多橋段都並非原本劇本的安排，而是隨人物的真正心情推進；為了能具體且自然的呈現，権野元導演會與演員們花上大量的時間相處與討論，讓他們發揮個人色彩與身而為人的那份柔軟特質。電影中所講求的真實感，除了透過演員的表演之外，「房子」也是十分重要的一環，由於主角的木匠身分，使導演避免利用動畫去呈現這個信吾的重要之物，因此劇中所出現的房子請來真正的木匠從基礎去建造而成，同時也希望觀眾可以感受到劇組傳遞出屬於人的「溫度」。  主題曲是送給劇組的情書，展現真實《太陽之家》的溫暖情感 「家庭的羈絆並非血緣的連結，而是只要擁有愛就可以成為家人。」是《太陽之家》最直接傳遞的核心，飾演主角妻子的飯島直子在採訪中提及：「每一位觀眾都能以不同的角度從中感受到愛，每一個人所認為的愛也不同；愛是存在於每一個人日常生活中的。」希望觀眾能體會到這個故事充滿著「深厚的愛」。劇組之間也有著溫暖緊密的氛圍，在拍攝現場長渕剛會以「直醬」稱呼飯島直子，飯島直子也不時關心著山口麻友，以及大家與飾演龍生的童星潤浩時常有純真可愛的互動，開朗與溫馨感讓「太陽之家」更顯得真實。電影主題曲〈Orange〉由長渕剛操刀製作， 歌曲的樣貌也在進入拍攝後半段時出現於他耳中，他形容「這首歌是大家的成果，不想與如此充滿愛的團隊分離，因此寫了這首像情書般的歌曲送給大家。」藉由歌曲表現出「此刻」的那股溫柔，也傳遞了太陽之家的美好關係。,20200925,片　　長：02時02分,,太陽之家,4.2,太陽之家
75,★奧斯卡最佳影片、最佳導演、最佳男主角、最佳男配角、最佳原創劇本、最佳剪輯、最佳電影原創配樂七項大獎入圍 ★榮獲奧斯卡金像獎、英國電影學院、金球獎最佳男主角 ★90年代的經典，深刻難忘的動人樂章  改編名鋼琴家大衛赫夫考的真人實事。講述音樂天才心理受創的童年，大膽揭露父子間的愛與恨。  大衛從小就在父親彼得的嚴厲教導下練習鋼琴，經常取得優異的成績。年少的大衛渴望前往美國進修，然而其父卻阻擋他離家出國。大衛的音樂天份後來獲得賞識，得到英國皇家音樂學院獎學金贊助的機會，他不顧父親的阻撓執意出國留學，因此和父親決裂，這段關係在他心中留下無法抹滅的陰影。  患有躁鬱症的大衛其精神狀況在每次的表演後每況愈下，回到了澳洲，他父親拒絕接納他，最後大衛只能住進精神病院治療。大衛克制不住彈琴的慾望，總是不斷尋找可以彈奏的機會。在偶然的機會下，他遇見了占星師吉莉安，在吉莉安的協助下，大衛重新回到人群、克服陰霾再次站上演奏台。 ,20200918,片　　長：01時45分,劇情,鋼琴師,3.9,鋼琴師
75,「因為我的原因，全都變得一無所有了...」  原本有個完美人生的菁英上班族桂木，卻一夕之間失去所有，在酒醉又絕望下想一了百了。  「如果你想要捨棄這條命的話，那就把他交給我吧！」突然出現一位神秘男子余田的幫忙，但卻也沒想到這是監禁調教生活的開始...。  【關於電影】  根據原作水田YUKI累計販售破百萬下載的賣座BL電子漫畫『性之劇藥』（BoysFan刊物）。本作品是以「性」來找尋「活著」的意思，在故事上很重要的性愛描述也是真真實實地拍成真人電影，並以R-18限制級為製作前提下進行拍攝。  導演城定秀夫是以「成為我的奴隸 新章」和「新宿Punch」等作品為人所知，濃厚性愛演出畫面和卓越的說故事拍攝手法，受到很多電影粉絲的熱烈支持。 ,20200925,片　　長：01時29分,,性之劇藥,2.6,性之劇藥
57,★誰都沒看過的故事，潛力作家河野裕最高傑作電影化！ ★2009發表的人氣作品「重啟咲良田」漫畫改編成真人電影。 ★第8回大學讀書人大賞人氣作家河野裕的原點作品。 ★如同「日本五月天」的流行搖滾樂團Flumpool創作電影主題曲、片尾曲 ★2020除了天能以外，不能錯過的時空穿越奇幻懸疑電影  「重啟」，僅此一句，就可以將世界倒流最多3天的時間。 圍繞著這卓越的能力，在能力者的城市“咲良田”展開超乎想像的故事。  擁有驚人的「記憶保持」能力的高中男生淺井惠，與擁有「重啟」能力的春埼美空，為了復活2年前去世的同班同學相麻菫，並肩攜手挑戰組合各種能力的策略。  這是一部時間觀念錯綜的讓觀眾緊迫的懸疑故事，同時也是一剎那的激動和悲傷打動人心的青春浪漫故事。  扮演主角的野村周平在不同作品中表現出不同類型的角色，具有豐富的演技能力。扮演春埼的黑島結菜透過清澈的存在感吸引著電影界的矚目。其他平祐奈、健太郎、玉成蒂娜、恆松祐里等也都是卓越的新人。  再加上，加賀真理子、及川光博等富有電影風格的實力派演員支援整部電影。flumpool專門針對本作品寫的主題曲「Last call」為電影添加色彩。  深川榮洋是表現能力非常廣闊的新銳導演。他在「仰望半月的夜空」、「神的病歷簿」等作品呈現出富有情感的演出和描寫，讓觀眾深受感動。跨越前後兩篇的新穎青春電影，誕生於此。 ,20200925,片　　長：02時06分,劇情,重啟咲良田 後篇,0.0,重啟咲良田 後篇
63,★誰都沒看過的故事，潛力作家河野裕最高傑作電影化！ ★2009發表的人氣作品「重啟咲良田」漫畫改編成真人電影。 ★第8回大學讀書人大賞人氣作家河野裕的原點作品。 ★如同「日本五月天」的流行搖滾樂團Flumpool創作電影主題曲、片尾曲 ★2020除了天能以外，不能錯過的時空穿越奇幻懸疑電影  「重啟」，僅此一句，就可以將世界倒流最多3天的時間。 圍繞著這卓越的能力，在能力者的城市“咲良田”展開超乎想像的故事。  擁有驚人的「記憶保持」能力的高中男生淺井惠，與擁有「重啟」能力的春埼美空，為了復活2年前去世的同班同學相麻菫，並肩攜手挑戰組合各種能力的策略。  這是一部時間觀念錯綜的讓觀眾緊迫的懸疑故事，同時也是一剎那的激動和悲傷打動人心的青春浪漫故事。  扮演主角的野村周平在不同作品中表現出不同類型的角色，具有豐富的演技能力。扮演春埼的黑島結菜透過清澈的存在感吸引著電影界的矚目。其他平祐奈、健太郎、玉成蒂娜、恆松祐里等也都是卓越的新人。  再加上，加賀真理子、及川光博等富有電影風格的實力派演員支援整部電影。flumpool專門針對本作品寫的主題曲「Last call」為電影添加色彩。  深川榮洋是表現能力非常廣闊的新銳導演。他在「仰望半月的夜空」、「神的病歷簿」等作品呈現出富有情感的演出和描寫，讓觀眾深受感動。跨越前後兩篇的新穎青春電影，誕生於此。 ,20200925,片　　長：01時43分,劇情,重啟咲良田 前篇,0.0,重啟咲良田 前篇
94,★ 《魔蠍大帝》票房強導恰克羅素再創動作巔峰 ★ 宛如《拳霸》加上《怪醫杜立德》的生猛狂想！ ★ 印度當紅性感男星維帝傑馬近身肉搏拳拳到肉演出 ★ 為了捍衛叢林，他們將不惜一切代價！ ★ 2019 成龍國際動作電影節評審團特別獎、最佳動作設計   拉吉從小和村落的大象一同長大，其中一頭大象寶拉更是他最好的朋友。長大後的拉吉成為了獸醫，並在孟買經營著一家生意興隆的獸醫診所。為了紀念母親十周年忌日，拉吉回到了他的家鄉－－一個知名的大象保護區，並和他最好的朋友寶拉重逢，但在全村落開心慶祝拉吉返鄉之際，盜獵者也對寶拉那價值連城的象牙虎視眈眈，並且計畫讓拉吉成為竊取象牙的代罪羔羊…… ,20200925,片　　長：01時55分,冒險,叢林拳霸,4.0,叢林拳霸
89,★ 韓國票房冠軍，票房吸金224億！ ★ 《信徒》金柱赫 ×《寄生上流》趙汝貞 從影最突破演出！ ★ 一場爾虞我詐、情慾流竄的求愛對決即將展開……  跟隨夢龍（柳昇範 飾）準備進京趕考的僕人方子（金柱赫 飾），對妓生之女春香（趙汝貞 飾）一見鍾情。雖知主人夢龍也對春香懷有愛意，但方子仍無法克制自己的感情，而對春香吐露自己對她的心意。而春香也對充滿男子氣概又柔情的方子動心，選擇投入方子的懷抱。  然而，春香仍無法放棄飛上枝頭變鳳凰的美夢，她在夢龍要赴試前和他做了約定，但方子即使知道後仍無法放棄春香。後來，一舉高中狀元的夢龍回來後，向春香拋出了充滿誘惑的條件，究竟方子是否能守住春香的心呢？ ,20200925,片　　長：02時04分,劇情,情慾對決,4.1,情慾對決
98,★ 榮獲第72屆坎城影展評審團獎肯定 ★ BBC評為2020年10大最精彩電影 ★ 紐約時報讚嘆「驚心的政治寓言」 ★ 致敬《月光光心慌慌》《突變第三型》驚悚大導約翰．卡本特 ★ 媲美《決殺令》《險路勿近》的血色懸疑之作 ⠀⠀⠀⠀⠀⠀⠀⠀⠀ 在不久的將來，一個名為「巴庫勞」的村子裡，村民正忙著哀悼女村長的辭世，於此同時怪事悄悄地接二連三發生，手機失去訊號、棺材滲水、幾乎與世隔絕的村子也突然來了訪客，而大家也發現，村子在地圖上被消失了……,20200925,片　　長：02時11分,,殺戮荒村,3.8,殺戮荒村
92,★日本票房冠軍 ★ 「哆啦A夢」50週年紀念作品，第40部長篇劇場版系列作品！ ★ 《哆啦A夢：大雄的金銀島》編導搭檔 今井一曉 X 川村元氣 聯手再出擊 ★ 日劇天王 木村拓哉 X 搞笑女王 渡邊直美 特別獻聲演出 ★ 日本搖滾天團「Mr.Children」動人打造雙主題曲〈Birthday〉〈君と重ねたモノローグ〉 ★ 日語原音版本、中文配音版本同步獻映  大雄在恐龍博物館參加挖掘化石體驗時，偶然發現了一個化石，深信這是個恐龍化石的大雄，使用了哆啦A夢的道具「時光布」讓化石回到原本的狀態……結果竟然孵化了恐龍雙胞胎小Ｑ與小妙！而且，這兩隻恐龍似乎是從來沒被發現過的新品種。跟大雄一樣有點靠不住的小Ｑ以及個性活潑的小妙，兩隻恐龍雖然個性天差地遠，大雄還是像父母一樣用愛呵護著牠們長大，但是恐龍終究還是無法在現代生存長大。  於是，大雄下定決心要將小Ｑ與小妙帶回屬於牠們的年代，與哆啦A夢跟夥伴們一起前往6600萬年前的白堊紀末期。一場找尋小Ｑ與小妙同伴的大冒險就此展開……靠著哆啦A夢的道具與恐龍們的力量，大雄一行人循著恐龍的足跡來到了一座神祕島嶼。然而，在白堊紀迎接他們的竟是恐龍即將滅絕的命運。小Ｑ與小妙，以及大雄一行人的命運又將會如何……？,20200925,片　　長：01時50分,冒險,電影哆啦A夢：大雄的新恐龍,4.6,電影哆啦A夢：大雄的新恐龍
89,★ 《冰與火之歌：權力遊戲》首席攝影師編導之作 ★ 啟發自真實事蹟，再現天主教「玫瑰法蒂瑪聖母」顯靈神蹟 ★ 烽火連天的1917年，3名孩子將為這個世界帶來奇蹟  《法蒂瑪的奇蹟》講述了一個十歲的牧羊少女和她的表弟妹在葡萄牙法蒂瑪見證「聖母瑪利亞異象」的故事，聖母的顯靈鼓舞了信眾，而隨著他們的預言傳開，成千上萬的宗教朝聖者蜂擁而至，然而，這卻激怒了教會和世俗政府的官員…… ,20200925,片　　長：01時53分,,法蒂瑪的奇蹟,4.2,法蒂瑪的奇蹟
