,author,contenttext,date,title,key_word
0,Spade (JACK),"
環狀線開通後反而比較常去板橋威秀看IMAX。
但是這部片讓我決定衝大直美麗華

第一次看星際效應時是在二輪戲院
當時還不懂什麼是IMAX

因為今年的特殊情況讓許多舊片有機會重映

第二次看IMAX選擇板橋威秀
第三次看IMAX決定衝大直美麗華

因為有許多1.43：1的畫面
板橋的畫面大概是藍色框框範圍
美麗華會多出下面弧形的畫面
（我隨意畫的，懂我在說什麼就好XD)



前面日常片段，外太空美麗華很多畫面都全滿看的真的很爽...
尤其當對接那個音樂還有畫面真的感動
我是建議要看IMAX就衝美麗華就對了  藝fun卷趕快用掉
住台北只看板橋IMAX也不是不行
只是有點可惜

--
電視上看跟戲院還是有差的
有空就衝美麗華
板橋：爽
美麗華：超級爽
",2020-10-14 21:47:02,Re: [好雷] 星際效應iMAX 空氣凝結的影廳,星際效應
1,tiara (中國台北發大財),"

第一次看星際效應是4年前用電腦看，從此這部電影就是我心中的第一名了，
想不到今生我竟然有機會在IMAX大螢幕觀賞，開場就讓我感動到快哭了！

不過我想提一下庫柏他們追逐的無人機，4年前我看了三遍，
沒注意是什麼國家的，今天才特別仔細觀賞，庫柏說他來自印度，
想想最近十幾年，好萊屋的電影幾乎都要捧中國一下，
像火星救援、地心引力、環太平洋..等等，
一定要稱讚中國也有同樣強大的科技實力，
當時諾蘭敢與眾不同捧印度，眼光實在獨特，
而且上個月印度和中國邊境的戰爭，印度連贏推進不少，
還有未來人也說過印度將統治中國，我佩服諾蘭當時的勇氣及眼光。

-----
Sent from JPTT on my Asus ASUS_Z01RD.

--
這樣也算扯政治？ 你是不是中國人或支持中國的台灣人，上個月被印度屌打心碎了？
一片就算捧懶趴，那幾十片電影提到中國是捧哪裡？
又有人很敏感，這也算政治文？
",2020-10-13 20:51:54,無雷 星際效應的無人機,星際效應
2,reggiewang (freshman),"
雷文防雷資訊頁

~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~

誰不曾在童年仰望星空？在深不見底的蒼穹，編織沒有邊際的夢，是父母說著床邊故事的
舞台，也是孩子想像力育成的搖籃。但《星際效應》卻不然—第一次看時，或許是過於理
性冷調，因此除了在蟲洞與巨浪面前倒抽一口氣，還有跟著馬修麥康納掉不停的眼淚稍微
鼻酸，並沒有留下太多印象；六年過去，趁著重新上映再度於大銀幕欣賞，才發現他的想
像力絲毫不亞於其他太空冒險，甚至是諾蘭作品中最感性、最浪漫、也最寂寞的。

「當你成了父母，有件事變得非常明顯：你得讓你的孩子感到安全」

父親對子女不求回報的深切思念，是《星際效應》成立的原因：因為地球環境持續惡化，
政府為了留住地球人，宣稱太空計劃只是冷戰陰謀論；曾是飛行員的庫柏被迫放棄太空夢
、轉而種植玉米，解決糧食危機，卻始終相信人類是拓荒者，應該積極為後代開疆闢土。
在一次機緣下，他參與NASA的秘密計畫，前往其他星系尋找人類下一個家。於是，重拾夢
想的庫柏與子女道別，搭上漫遊者號展開度日如年的航程。

有誰能不被庫柏與墨菲的父女情感動呢？諾蘭在兩人的相處埋下許多伏筆，包括墨菲躲在
庫柏卡車副駕駛座的驚喜、庫柏上太空前跟墨菲比賽年齡，以及手錶與摩斯密碼，父女默
契在分離後成為錐心印記，支撐著搖搖欲墜的歸來承諾。

庫柏在太空艙螢幕看著出發時還是女孩的墨菲轉眼成人，眼淚為了錯過的陪伴哀悼、摻雜
無言的愧疚、或許還有一點驕傲，馬修麥康納的哭戲堪稱教科書，在欣慰與悲痛間流轉，
任誰都會深深動容。

片中不只一次提到「愛是唯一超越時間與空間的事物」，卻也強調「太空人不該有太多情
感羈絆」。片中庫柏與布蘭德兩對父女宛若對照：庫柏為了子女的未來選擇出走，只為尋
求歸來後與他們更長久的相處；而用心良苦的布蘭德教授何嘗不是？明瞭地球與自己同樣
來日無多，以執行計畫之名將女兒放逐到新世界。雖然故事發生在未來，天下父母心卻不
曾因演化改變，人類無私的私心在浩瀚宇宙中如此渺小，卻在節制的濫情烘托下格外耀眼
。

「每部電影都應該有（像是《銀翼殺手》）的世界，一個有自己合理邏輯的世界投射在觀
眾眼中，讓他們相信，眼前的世界是真實存在的」

沒人知道黑洞與蟲洞的真實面貌，諾蘭特別找來物理權威基普索恩坐鎮，盡量考究地以廣
義相對論設計出球體的視覺效果，以及因快速旋轉而熾熱的環狀氣體。此外，不論是種植
500畝玉米田、建造等比例模型的太空船或用鼓風機吹出沙塵暴，為了讓演員更能身歷其
境，諾蘭拒絕使用綠幕，並以35和70mm的膠卷和IMAX攝影機攝製而成，每個不計成本的大
場面，都展現他對實景拍攝近乎走火入魔的浪漫，唯有在IMAX的巨幕瞻仰，才是最佳服用
方式。

第二次看《星際效應》，配樂竟成為特別喜歡的一環。漢斯季默以管風琴為主的配樂，讓
全片充滿神聖感，搭配庫柏駕駛小艇、追逐失控旋轉的永續號的戲碼，宛如人類對時間的
力挽狂瀾（擁有12個船艙的永續號太空站也形似時鐘），危險而優美。

而長方體機器人明顯出自《2001太空漫遊》，在史丹利庫柏力克眼中石碑象徵高度文明、
機器人則機智狡詐，在諾蘭的故事裡則合而為一、成了庫柏最知心的好友，或許也是人類
和科技最理想的共存關係。

「墨菲定律不代表壞事一定會發生，而是發生過的事情終究會發生」

庫柏進入五次元的重力場後，穿梭在墨菲不同時期的房間裡；「發生過的已經發生了」，
同樣用抱持信念的角色拆解已知的時間觀念，諾蘭在《天能》提到的命定悖論與墨菲定律
呼應別有趣味。回到《星際效應》衰老崩壞的地球，這個世界會變得更好嗎？或許不會，
但一如為了摯愛明知不可為而為之的庫柏，有點偏執、有點倔強，但依然無懼前行著：

「不要溫順地步入那良夜
年老應當在日暮裡燃燒咆哮
怒吼吧！怒吼抵擋著光明的熄滅」

更多好片影評推薦，歡迎追蹤IG帳號：




--
",2020-10-13 20:29:20,[好雷] 星際效應,星際效應
3,howenchong (Hoy),"
雷文防雷資訊頁



~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~







~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~


如果我手上無劍，我就無法保護你
如果我手上有劍，我就無法擁抱你
一個父親，怎能丟下一個已經沒有母親的十歲小女孩不管？＂
但如果不那麼作，女兒長大後的人生或許會見證末日，
如果主角沒去，人類是否也會得救？
或許，不知名的五維生物也會透過別人來救世？
或許不會？
就像人類看到一群螞蟻困在水池，好心的指引一條路，
好心的把找路的螞蟻扶上岸，
如果嚐試救援了，但螞蟻還是沒找到路，
也許人類也會放棄，
所以如果主角不去，沒能得到黑洞內的數據，
五維生物也不見得會再作什麼，也許地球人真的會毀滅。
可悲的是，男主選擇的，根本是場騙局，
還造成小女孩誤會父親只顧自己逃命到外星，
即使最後誤打誤撞，成功的回傳了數據了救地球人，
最終貢獻也不為人知。
即使最終能冰釋誤會，但能見上的也是女兒最後一面，
原本應該是陪伴女兒長大，那些逝去的時光也不會再回來。


--
",2020-10-13 16:49:22,[ 雷] 星際效應,星際效應
4,Arthur818 (桃之夭夭),"
雷文防雷資訊頁



~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~


















~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

馬修麥康納的演技真的很到位
臉部細膩的表情都能傳達出當下的情感

有別於他在紳士追殺令那種雅痞的氣息
他在星際效應則扮演一位父兼母職的爸爸

我覺得比較深刻的哭點
一是Cooper認為只有自己能擔此重任
在家裡跟小Murphy解釋 希望得到她的諒解
但小Murphy始終不想他離開
內心糾結的Cooper
只好傷心的開著他的耐操好用卡車
邊流淚邊開往一條可能回不去的旅途
此時小Murphy哭著跑出來 但你爸已經走遠了

二是最後
Cooper很幸運（主角光環）的被第五次元的人
給救了 剛好又被地球人找到帶回來

醒來得知 年老Murphy特地冬眠起來
為了等他老爸回來 見他最後一眼

當時還算年輕的Cooper 看到白髮蒼蒼的女兒
心中一定酸酸的

他本來可以不顧一切
好好的陪小Murphy一起長大
看著她慢慢長大 變成成熟的漂亮女孩
陪她嘻笑 陪她哭鬧
見證她嫁人的那刻

誰曉得他在女兒十幾歲的時候離去
回來已是即將天人永隔的最後一面

當Murphy向Cooper說
：你走吧 父母不該看著自己的兒女死去
到這 眼淚已止不住
儘管已經是第二次看 心還是酸酸的

電影結束後 開始跑字幕
很意外 完全沒有人要離席的意思

整場電影下來
幾乎沒有任何人發出聲響
大家都很認真的對待這場電影
當然拍手也沒有

直到連字幕都跑完
影城員工還跑進來確認
以為裡面的人都昏迷了
沒半個人走出去
或許 看完的人都有些許沉重跟感動吧

---------題外話---------

當時聽到重映的消息
實在喜出望外
前陣子在家看完就在想
若能看大螢幕的版本搭配音效
一定很過癮

重映首日 衝最早場到高雄遠百看iMAX

這是我本來想像的海報


實際上 嗯？

也很美 不過本來以為是科技感的海報

前一天有稍微爬文
我也很想去大直美麗華看iMAX
不過真的太遠
只好就近去螢幕小的高雄遠百威秀

--



澄清一下 沒說不美 只是跟科技風格有反差

這裡超揪心 Cooper私心希望掀開是Murphy躲著


我覺得看這部的觀眾素質都很棒！安靜的觀影
我拿到的當下也矇了 雖然也很美啦 但風格有差
真的超落寞 只剩下自己跟布蘭特
欸不是 拍手的人永遠不知道為什麼要拍哈哈
觀眾影響當下的觀影體驗！真的很值得看
你們都是性情中人！情感細膩
再幫他用個框保護
半圓型！！？
欸對 才剛哭就切換了 超空虛
取個近似值XD 一樣可愛啦！
我平常都看數位 但這部一定要看IMAX的星河

啊勒 直接復刻嗎…
突然有種成就達成的感覺！
只能說 還行！螢幕是硬傷 音效倒還不錯
太燒啦！我真的超想去 不過真的太遠了QQ
有機會一定去朝聖！私心希望南部趕快蓋一間

震撼到連爆米花都沒人在啃了XD 超認真
還是可惜在太早轉場了 來不及感動
超拼欸 不過很值得！
可能賣太好QQ
真的 好的觀眾決定當下的體驗
",2020-10-12 23:09:40,[雷] 星際效應iMAX 空氣凝結的影廳,星際效應
5,joker123911 (),"
雷文防雷資訊頁
















~~~~~~~~~~~~~~~~~~


星際效應，2014年與朋友進美麗華數位影廳欣賞完畢

走出影廳，細雨紛紛，點綴著心中澎湃洶湧的感動


2020年，星際效應早已觀看無數次，每每推薦一位朋友就重新複習一遍

再次走出美麗華的imax影廳，那些重複無數次的冒險故事又再次充滿著內心

那些浩瀚的星空宇宙畫面彷彿穿越了時空次元

在這六年間激盪，連結每個為這個故事動容的你我

在我們每個人內心的宇宙成長茁壯，過了好些年思想心境各有不同

但每每欣賞完都能再次被觸動

強烈推薦每個人能再進一次電影院，欣賞imax影廳無裁切的優美畫面

浩瀚的星空、一望無際的玉米田、令人敬畏的米勒星球

充滿科幻色彩的蟲洞穿越還有黑洞

都有十足的沉浸感

這部作品恰到好處的節奏控制、磅礡觸動人心的配樂、情感的鋪陳、唯美的鏡頭

細膩的安排以及適當點綴的科普對白，都讓人觀影過程非常舒適融入

數遍的觀賞都覺得三小時稍縱即逝，非常享受

電影開頭不久車子在玉米田旁爆胎

經典的配樂一出現，眼淚就不受控制的掉下來

庫柏說著莫非定理，有可能會發生的事就一定會發生

還有兒子接近懸涯停車時，庫柏說典型不知變通的死腦筋

這些細小的對白鋪陳都不自覺的觸動著我

不管看幾次都覺得很棒

布蘭德的愛理論，這段長對白首次觀影時覺得稍微出戲

但多看幾次之後越能慢慢感受那種虛無飄渺的感情連結

也是電影很棒的一個主軸

整部電影巧妙的利用被重力影響的時間差異

描繪人類內心的感情、掙扎與人性

有豐沛的親情、愛情，也有懦弱痛苦，害怕失去與期待

愛如此穿越時間空間，超越著人類理解的時間重力

甚至是穿越次元

就像過了六年，影廳裡依舊坐滿了被感動的人們，被連結在這個影廳

觀影結束後，漫步共享著這個台北午夜的細雨

電影，也許無法契合或感動每個人，畢竟觀影體驗非常主觀

但我認為每部電影只要感動、娛樂到任何一個人

讓你為它觸動，就是一部值得的好作品

推薦給大家再進一次影廳，享受這份感動

謝謝大家


--
別人笑我太瘋癲
我笑他人看不穿

--
哈哈我是覺得還好啦，畢竟我也不喜歡被雷，順手一下無妨
沒注意抱歉，不是故意不改，已修正
感謝推薦
祝您有個美好體驗
感情和人味的話，我也非常愛頂尖對決，犧牲的入魔情感堆疊的非常棒，不過因為題材，畫面上就比較不需要看大螢幕
",2020-10-12 00:02:43,[好雷]星際效應重映心得,星際效應
6,ELclaire (good job),"

取自部落格

 

知道這則消息的時候真的超開心的，

星際效應跟阿凡達是我沒看IMAX覺得非常可惜的片，

前者是當時IMAX還沒有流行起來不懂要把握，

而本片是當時上映時找不到任何一個可以去的時間。

這次去威秀還可以拿海報也真的讓我有更附加的喜悅。

儘管這部片也一陣子了但是我對劇情還是記得非常清楚，

不過電影音效大到整個戲院都在震動讓我跟我的同伴都沒有覺得這是一種享受就是了，

不看電影的同伴是被我千求萬求才好不容易進戲院，

問我劇情在演什麼我只簡單地說這是星際愛情故事，

因為這部片真的不太能用言語短時間解釋出來，

而她問我的時候我第一個想到的是安海在電影最後的孤單星球場景。

這是六年前的電影了，

幾年後孩子一下子生了三個，

這次看本片就更加注意親情的描寫。

當爸爸的真的很辛苦，

要養兩個孩子還跟死去老婆的爸爸住一起，

電影中的互相扶持很不錯，

但不禁讓我想到背後是要花多少心血維持一個少了女主人的家庭？

而爸爸走後剩下的人又得多辛苦。

男人與兒女的互動都非常棒，

已經是小大人的哥哥很能理解爸爸的離開，

但在往後的人生卻對父親無法放下而困在玉米田牢籠，

而無法接受父親離開的女兒則是從小就在父親身旁學東學西，

以致父親離開以後以某種形式追隨父親的腳步，

也因為這樣才會有那段感人的You are my ghost劇情。

小女孩跟爸爸的互動真的很棒，

總有辦法讓爸爸不知道要不要繼續生氣，

儘管在離別時非常不美麗，

但是卻能夠跟父親的思考模式相連，

最後拯救世界。



當初在進場的時候一直覺得安海的角色不太適合她，

有一種她就不是聰明博士的感覺，

這次看的時候還是沒有消除這種想法。

而第一次看的時候根本還不知道麥特戴蒙有演，

拉鍊拉開的時候還真的嚇了一跳，

本來以為大家見面是要幹大事了沒想到那段劇情是這樣結束，

又在意料之外的讓主角跑回女兒的書房。

雖然不知道原理但是在親情上的著墨還是很感人，

長的像皮革沙發的馬修麥康納不愧是影帝級別，

有打動我的心。


到後面年輕爸爸跟年老女兒見面的地方真的讓我眼淚快掉下來，

可是還是覺得安排的很奇怪，

年輕爸爸出現怎麼大家態度都是那麼的冷淡，

這感覺就很不像你知道眼前這個年輕人是你124歲阿公的反應。

而最後面主角要去找安海這件事也很奇怪，

明知道一個人還在宇宙中流浪，

為什麼去救她竟然要偷偷去？



不過這些感覺不合理的問題並沒有讓我減低對這部片的喜愛，

各個星球的風景、太空畫面、奇怪書櫃等等真的非常賞心悅目。
希望之後itunes有特價。



-----
Sent from JPTT on my Sony J9110.

--
",2020-10-10 12:47:51,[ 好雷] 重看 星際效應IMAX重映,星際效應
7,soonop (宰愚),"



雷











防雷分頁
---------------------------------------------





布蘭德所說:愛是唯一可以超越時間與空間的事物。

在劇情後段，庫珀穿越五度空間並與先前穿越蟲洞的布蘭德握手的片段，
是不是在表現庫珀已經對布蘭德產生了愛(不管是友情或愛情)，使他在穿越五度空間的過
程中，
能夠超越時空與布蘭德產生了聯結(握手)，並呼應最後墨菲建議庫珀與布蘭德在一起，並
駕駛飛船去與她
會合的結局。

我認為以這個角度來看庫珀與布蘭德的情感聯結，會使庫珀駕駛飛船去找布蘭德的結局自
然許多。

--
 13:52。我也是這樣認為。

哈哈哈 可以哦！
同意
小補充:印象中 最後在土星太空站的永續號紀念碑上面有列出拉撒路計畫的太空人姓名，
曼恩博士是有在上面的，曼恩博士的謀殺事件 後人並不知道。
同意你所說的愛與執念，他的電影角色在追求愛的過程手段都不是輕鬆的，而且最後追求
到愛也都帶有一絲遺憾，我想到的場景像是：全面啟動的最後似停非停的陀螺、星際效應
父母不該看子女死去、天能主角知道尼爾之後的遭遇。
同意！！愛是關鍵！！
真的！
",2020-10-10 00:12:16,[討論] 星際效應 庫珀對布蘭德的感情(雷),星際效應
8,kkes50715 (kkes50715),"
六年前的電影，就不放防雷頁了

本來看完天能後，因為同一個導演的關係，我其實對這部片完全不抱任何期待的。

但看完後只有一個感言，你這不是可以好好講故事嗎？好好描寫腳色？好好推進劇情嗎？

本部片音樂、畫面、故事各方面都相當傑出，雖然我個人不是很喜歡進入黑洞後劇情的推
進方式，但還算是一個好故事。

這部電影所用到的物理與天文相關大致上算是正確的(起碼是一種猜想)，而對於理論解釋
也簡單易懂，與配角機器人的對話也相當有趣，整體來說是一部很值得去看的電影。

因為這部片已經是六年前的電影了，就不對劇情或細節做過多的評論。

其實我只想用這一句作為看完這部電影的感言。

「你確定這部導演跟天能的導演是同一個嗎？也差太多！」

--
",2020-10-09 22:37:33,[好雷]星際效應短評,星際效應
9,studios (健忘症),"
你可以看完這本書
不過要再多花錢
不過看不懂就別勉強了

-----
Sent from JPTT on my Xiaomi Redmi Note 8 Pro.

--
",2020-10-09 21:54:26,Re: [ 負雷] 星際效應到底在演三小？,星際效應
