amount_reviews,critics_consensus,date,duration,genre,images,rating,title
100,★ 第43屆國際多倫多影展最佳加拿大電影 ★ 2018溫哥華影評人協會最佳加拿大紀錄片 ★ 加拿大金尼獎最佳紀錄長片《水風景》導演組合再度合作，寫實呈現人造過後的地球景致 ★ 奧斯卡最佳女配角艾莉西亞薇坎德真情獻聲，沉痛指控人類不可逆之罪  當人類對地球生態做出的改變成為常態，我們便進入了全新紀元—人類世。  科學家認為地球在二十世紀中期就進入「人類世」，人類的活動規模已經大到足以造成這個星球不可逆的改變，全球暖化、過度開發、海洋汙染，透過《人新紀元：走進人類世》走遍六大洲、二十個國家，長達四年的追蹤帶你見證人類對地球的破壞是如何地令人震撼及痛心，藉此反思自身的所作所為。,2020-10-16,片長：01時27分,,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\人造紀元：走進人類世.jpg,4.3,人造紀元：走進人類世
95,★ 超人氣原創電視動畫《高校艦隊》躍上大銀幕！ ★ 應該守護的船艦，應該前進的航路，少女們嶄新的故事將揭開序幕！  距今約100年前，日本大部分的國土沉入海中而成為海上大國。守護海洋安全的「藍色人魚」，因而成了女孩們所嚮往的職業。想成為「藍色人魚」的岬明乃，進入了橫須賀女子海洋學校，被任命為教育艦「晴風」的艦長，與同學們一同參與海洋實習。個性豐富的班上成員們，一起克服種種困難，加深彼此的羈絆。某日，日本國內全體女子海洋學校學生齊聚一堂的文化祭與體育祭「競鬥遊戲會」在橫須賀舉辦，明乃等晴風班成員們也為了準備歡迎祭而忙碌不已。大和．信濃．紀伊等超大型艦的班級也都前來集會，就在各式各樣的演出與競技正火熱進行時，新的「危機」正朝她們逼近…… ,2020-10-16,片長：01時44分,,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\劇場版高校艦隊.jpg,4.5,劇場版高校艦隊
98,★《生命中最抓狂的小事》《教宗的承繼》製片最新力作 ★ 阿根廷歌影雙棲女星菈莉艾斯波希特演技爆發之作 ★ 第75屆威尼斯影展評審團大獎提名 ★ 第43屆多倫多國際影展 ★ 每個人，都有秘密…　　  正值青春年華的桃樂絲原本過著平凡無慮的生活，直到她的好友遭到殘酷地謀殺。兩年後，在媒體大肆渲染下，桃樂絲因曾出現在案發現場，成為這起命案唯一的犯罪嫌疑人。桃樂絲的家人竭盡全力地為她辯護，然而，隨著排山倒海而來的社會壓力，家庭中出現了秘密和猜疑，在種種不利於她的證據面前，桃樂絲必須獨自面對外界的質疑，並努力為自己洗清罪嫌……,2020-10-16,片長：01時54分,懸疑/驚悚,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\被告.jpg,4.2,被告
98,★《驚爆銀河系》《超危險特工2：狠戰》導演無厘頭爆笑新作 ★ 「動保殺神」基努李維超ㄎㄧㄤ回歸白爛經典系列 ★ 奧斯卡金獎導演史蒂芬索德柏擔綱監製 ★ 要對大家好好的，一起嗨起來！  阿比（艾力克斯溫特 飾）和阿弟（基努李維 飾）這對邁入中年的活寶，雖然已寫過上千首歌曲，卻始終無法創作出史上最棒的歌曲。當一位來自未來的使者向他們發出警告，表示只有他們的歌曲可以拯救地球，於是兩人決定再度踏上時空旅行，在女兒和傳奇音樂人的幫助下，並向未來的自己「致敬」，寫出一首能再度讓宇宙恢復和諧的驚世之作！ ,2020-10-16,片長：01時33分,喜劇,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\阿比阿弟尋歌大冒險.jpg,4.0,阿比阿弟尋歌大冒險
80,故事由莎士比亞【亨利四世】、【亨利五世】改編而成，敘述麥可（瑞凡菲尼克斯 飾演）與史考特（基努李維 飾演）兩位流落街頭的困頓青年，但卻有著極大差異的家庭背景及態度觀念。  麥可來自破碎的家庭且患有猝睡症，情緒激動或緊張時容易發作，記憶中唯一幸福的時光是小時候與母親的擁抱，因此一心想找到他失聯的母親；叛逆不羈的史考特則是富有的市長之子，過著自甘墮落的生活目的是為了挑戰、羞辱有權勢的父親。麥可與史考特成為好朋友，一起踏上尋找麥克母親之旅，旅途中同甘共苦，最終因身分背景的不同而分道揚鑣。  【關於電影】  《男人的一半還是男人》由知名導演葛斯范桑執導，瑞凡菲尼克斯及基努李維主演，敘述兩位與主流社會格格不入的年輕人，出身背景極度不同但同樣淪落街頭，過著墮落頹廢的不安生活。瑞凡菲尼克斯把找不到歸屬感、深沉及落寞的情感詮釋得淋漓盡致，更因此獲得1991年威尼斯影展影帝的頭銜。。,2020-10-16,片長：01時44分,,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\男人的一半還是男人.jpg,3.2,男人的一半還是男人
98,,2020-10-16,片長：01時24分,,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\詭憶.jpg,3.5,詭憶
96,★ 《Voice 聲命線》性格演員張赫大展精湛劍術，挑戰高難度動作戲！ ★ 《玩命關頭6》喬．塔斯利姆展現華麗武打場面 ★　人氣團體「BTOB」成員 李旼赫大銀幕出道作 ★ 《大叔》製作公司最新痛快動作鉅獻  光海君遭廢位後，朝鮮最棒的劍客泰律（張赫 飾）消聲匿跡。這時，朝鮮內部正處極為混亂的時局，清國皇族（喬．塔斯利姆 飾）提出無理的要求，逼迫朝鮮。  朝鮮百姓們痛苦不堪，清國皇族的手下竟趁機擄走泰律的女兒（金賢秀 飾）要她成為宮女。原本打算遠離塵囂默默度過餘生的劍客泰律，為了拯救女兒而重拾毫無慈悲的劍，追擊帶走女兒的惡徒們……,2020-10-16,片長：01時40分,劇情,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\浴血劍客.jpg,4.3,浴血劍客
88,在片中飾演前退役海軍陸戰隊隊員艾莉(Ali)的露比·蘿絲，回鄉尋求療癒，低調生活，沒想到竟捲入另一場奪寶紛爭，而對方來勢洶洶，要的不只是藏在公寓裡的千萬名畫，還想要趕盡殺絕。她隻身一人對抗菁英傭兵軍隊，從肉搏戰至炸彈爆破全部自己來，她不只要跟時間賽跑，還要小心四處埋伏的殺機，讓這些侵門踏戶的敵人親眼見識「來自特種部隊的守門人」。,2020-10-16,片長：01時37分,懸疑/驚悚,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\奪命守門人.jpg,3.0,奪命守門人
88,★ 改編自紐時百大書單暢銷小說《教母》（The Godmother） ★ 法國首週票房亞軍，僅次《天能》 ★ 《她的危險遊戲》《鋼琴教師》法國傳奇影后伊莎貝雨蓓妙趣橫生新作 ★ 《推拿》《女僕心機》金獎製片爆笑呈獻 ★ 50%條子＋50%毒販＝這批雨蓓100%純啦！  帕休絲波圖福（伊莎貝雨蓓 飾）是一名法語、阿拉伯語的警方翻譯，任職於反毒單位，專精電話監聽。這份工作既困難薪水又少，但她的指揮官上司很迷人！有天她在監聽被通緝的毒販通話時，意外發現他們其中一人是照顧她母親的善良女人的兒子，於是她決定保護他，因而一腳踏進毒品世界中。帕休絲得到了大量的交易訊息，加上新搭檔：前警犬「DNA」的幫助，她抓住機會搖身一變，成為毒品大盤商「藥頭大媽」！,2020-10-16,片長：01時46分,喜劇,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\藥頭大媽.jpg,3.3,藥頭大媽
99,★ 改編自韓國經典犯罪電影《盲證》，由日本新生代實力派女星吉岡里帆聯手鮮肉帥哥高杉真宙演出 ★ 一個因意外失明的警校畢業生，卻是連環女高中生綁架案的唯一證人，她要如何指認極惡罪犯？ ★ 少女連環分屍慘案，智慧型殘暴罪犯與看不見的前女警展開一場鬥智對決  濱中夏目（吉岡里帆 飾）在警察學校畢業典禮當晚，因過失車禍，導致弟弟死去，自己也雙目失明，她放棄成為警察的夢想，3年來，她將自己完全封閉，只有導盲犬陪伴她過日子。  某天，夏目遭遇交通事故，在現場，她聽到車中傳出少女微弱喊救命的聲音，曾在警校受過專業訓練的她，判斷車內可能是一宗綁架案。但警方並不相信她所提供視覺以外的情報，停止調查，但少女的呼救聲讓她一直揮之不去，她找到當時也同樣目擊車禍的滑板少年（高杉真宙 飾），說服他一起尋找犯人蹤跡。  他們逐漸順著線索追查到可能遭到綁架的受害人，和一位被稱為「救神」的神秘人物。木村警官與搭檔吉野（大倉孝二 飾）也開始覺得事有蹊蹺，決定出手相助，並發現了疑似遭到殺害，堆積成山的青少女斷肢屍體。木村警官發現此案與15年前一宗謀殺案之間似乎有相關之處，這時，凶手突然出現並開始跟蹤夏目，讓她身陷險境，…… ,2020-10-16,片長：02時09分,懸疑/驚悚,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\看不見的目擊者.jpg,4.3,看不見的目擊者
